synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
|kuvahaine|kuvaha/ine, -ižen, -šte; -ižid|s.|кувагайнэ|тень|varjo|||||||||||||||
|küdü|küdü, -n, -d; -id|s.|кюдю|деверь|aviomiehen veli|||||||||||||||
|külläine|küllä/ine, -ižen, -šte; -ižid|a.|кюлляйнэ|сытый, сыт  (RKS)|kylläinen|||||||||||||||
|külm|(SP) külmü|a.||||||||||||||||||
|külmäda|(TP) külmä/dä, -u|v.||зябнуть||külmän (RKS)|кюльмян|зябну|palelen, olen viluissaan|||||||||||
|külmäta|külmä/tä, -dän, -žin; -däu, -ži|v.||||||||||||||||||
siemeta|külväda|külv/ädä, -än; -äu; -etäh|v.||сеять|kylvää|külvän (RKS)|кюльвян|сею|kylvän|||||||||||
|külväda||v.||||pelvast külvetäh (LMS 180)||лён сеют|pellavaa kylvetään|||||||||||
|külvämine|külvämi/ne, -žen, -šte; -žid|s.|кюльвяминэ|пашня|kynnös|||||||||||||||
|külü|külü, -n, -d; -id|s.|кюлю|баня|sauna, kylpy|valgei külü ||баня по-белому|savuton sauna|||||||||||
|külü||s.||||müö pezemökse külüs ||мы моемся в бане|me peseydymme saunassa|||||||||||
|külü||s.||||mina tul'in pezemähäze külüh||я пришёл помыться в бане|minä tulin peseytymään saunassa|||||||||||
da I, ja|i I|i|konj.||и, да|ja, sekä, *-kin|ruskedad i mustad sesruoid (LMS 383)||красные и чёрные смородины|puna- ja mustaherukat|||||||||||
|i I||konj.||||tütär i poige||дочь и сын|tytär ja poika|||||||||||
ižač, tuat|iža|ižä ~ iža, -n, -d|s.||отец, родитель; самец|isä; uros, koiras|||||||||||||||
|ižand|ižänd/e, -än, -äd; (V) ižande|s.|ижяндэ|хозяин; владыка, дух|isäntä; haltia|minä olen ižände mečän (TTV) uskom.||я владыка леса|minä olen metsänhaltia|||||||||||
|ižand||s.||||ižändad veden||духи воды|vedenhaltiat|||||||||||
|ižand||s.||||(Ph) ižändüüle||духам|haltioille|||||||||||
|tahnanižand|tahnan/ižände|s. yhd.||дворовой|tanhuanhaltia|||||||||||||||
|vedenižand|veden/ižände|s. yhd.||дух воды, водяной|vedenhaltia|ižändad veden||духи воды|vedenhaltiat|||||||||||
mecanhalgij, meccahine|mecanižand|mečän/ižände ~ (V) mečan/ižande|s. yhd.||дух леса, леший|metsänhaltia|minä olen ižände mečän (TTV) uskom.||я владыка леса|minä olen metsänhaltia|||||||||||
|kodinižand|kod'in/ižände|s. yhd.||дух дома, домовой|kodinhaltia|||||||||||||||
|külünižand|külün/ižände|s. yhd.|кюлюн ижяндэ|хозяин бани, баенщик (нечистая сила)|saunanhaltia|||||||||||||||
adv.|külläl|kül’l’äl|adv.||досыта, щедро, вдоволь, с избытком|kyllin, kylliksi, kyllikseen|rod'ih täks päiväd külläl (LMS 316)||хватит на сегодняшний день с избытком|riittää täksi päivää kylliksi|||||||||||
|külä|kü/lä, -län, -läd; -l'id|s.|кюля|село|kylä|Vašakan külä|| деревня Вашаково|Vasakan kylä|||||||||||
|külä||s.||||täss küläs rod'iiheze||он в этой деревне родился|tässä kylässä syntyi|||||||||||
|kümmene|kümmene, kümmenen, kümente ~ (V) kümmende|num.|кюмэнэ|десять|kymmenen|kümmene kod'id ||десять домов|kymmenen taloa|||||||||||
|kümmene||num.||||sanon kümmene kierad (RKS)|санон кюмэнэ кирят|твержу, говорю десять раз|sanon kymmenen kertaa|||||||||||
|kümmene||num.||||tuha kümmene (RKS)||тысяча десять|tuhat kymmenen|||||||||||
|kümmenik|kümmen'i/kke, -kan, -kkad; -kuoid (RKS)|s.|кюммэниккэ|десятский|kyläpoliisi,  kupias|||||||||||||||
|kümmenendž|kümmeneiž, kümmenenden, kümmenette|num.||||||||||||||||||
|künded|künded|s. mon.|кюндэд|когти|kynnet|||||||||||||||
|kündüz|kündü/s, -ksen, -ste; -ks'id|s.|кюндюс|порог|kynnys|kündüksel selgitös||на пороге оденешься|kynnyksellä pukeudut|||||||||||
|kündüz||s.||||kündüksele||на порог|kynnykselle|||||||||||
|kündž|kün/z'i, -den|s.|кюнзи|ноготь|kynsi|künden piälüst (LMS 181)||поверхность ногтя|kynnen päällystä|||||||||||
|piälüst|piälüst|s.||поверхность|päällystä|künden piälüst (LMS 181)||поверхность ногтя|kynnen päällystä|||||||||||
|küntä||v.||||kündžin (RKS)|кюнджин|я царапал|kynsin|||||||||||
|kuav|kuav/i, -in, -id|s.||||||||||||||||||
höühen, pero, sulg|künä|kün'ä ~ (V) kün'a|s.|кюня|перо (из крыла), писчее перо (RKS)|kynä, sulka, kirjoituskynä (Ph)|(V) l'indun küna||перо птицы|linnun kynä|||||||||||
|künäbruz|kün'äbrüs ~ (TP) künäbrüs|s.|кюнябрюс|локоть|kyynärpää|||||||||||||||
kürzäd|kürz|kürz/e, -än, -äd; -id|s.|кюрьзэ|блин, оладья|ohut pannukakku, lettu, blini; koho-ohukas (uud.)|||||||||||||||
kürz|kürzäd|kürz/äd ~ -ät (RKS), -id|s. mon.||блины, оладьи|ohuet pannukakut, letut, blinit; koho-ohukkaat (uud.)|||||||||||||||
|kärz|kärz/e, -än, -äd|s.|||kärsä|||||||||||||||
|küzüda|küzü/dä, -n, -in|v.||спросить|kysyä|(Lm) pidäu küzüdä||нужно спросить|täytyy kysyä|||||||||||
nühtida|kütkida|kütk/edä, -en, -in; (V) küt'ki/da, -n, -in|v.||полоть, щипать|kitkeä|kütken (RKS)|кюткэн|щиплю|kitken|||||||||||
|käbäl|käbäl, -än, -äd; (V) -üöid|s.|кябяй|лапа (животного)|käpälä|||||||||||||||
käbäl|käbäläine|käbälä/ine, -ižen, -šte; -ižid (RKS)|s. dem.|кябяляйнэ|лапка|käpälä (pieni)|||||||||||||||
kägi|kägöi|käg/üöi, -üöin, -üöid; -ölüöid; (SP) kägöi, -n|s.|кягюёй|кукушка|käki|||||||||||||||
|kämmen|kämmen|s.|кямменъ|ладонь|kämmen|||||||||||||||
|kärbäine|kiäbrä/ine ~ kiärbä/ine ~ (Lm) k'äbrä/ine, -ižen, -šte; -ižid|s.|киябряйнэ|муха|kärpänen|||||||||||||||
|kärböisien'|kiäbräi- (RKS) ~(Lm) k'äbrüöi/sieni (LMS 184)|s. yhd.|киябряй-сиэни|мухомор|kärpässieni|||||||||||||||
|käbr|käbr/ü, -ün, -üd; -üid|s.||||||||||||||||||
|käbü|käbü, -n, -d; -id|s.||||||||||||||||||
|käri|käri, -n, -d|s.||повозка|kärri, kärryt (kaksipyöräiset)|||||||||||||||
|kärišta|käri/šta, -žen, -žin|v.||хрипеть|korista|kärižen (RKS)|кярижэн|хриплю|korisen|||||||||||
|kärz|kärze|s.|кярзэ|рыло|kärsä|||||||||||||||
|käskend|käskende (RKS)|s.|кяскендэ|приказ|käsky|||||||||||||||
|käskülaine|käskülä/ine, -ižen, -šte; -ižid|s.|кяскюляйнэ|работница|palvelijatar|||||||||||||||
|kätküd|kätküd|s.|кятькюд|люлька,  колыбель, зыбка|kätkyt, kehto, vitmi|||||||||||||||
|kävelta|käve/lta, -len, -l'in|v. frekv.||||kävelen (RKS)|кявэлэн|хожу|kävelen|||||||||||
|käzi|kä/z'i, -den, -tte; -z'id ~ -zid|s.|кязи|рука|käsi|oiged käz'i (RKS)||правая рука|oikea käsi|||||||||||
|käzi|kä/z'i, -den, -tte; -z'id ~ -zid|s.||||hura käz'i (RKS)||левая рук|vasen käsi|||||||||||
|käzi|kä/z'i, -den, -tte; -z'id ~ -zid|s.||||hural kädel rodih||по левую руку будет|vasemmalla puolella tulee|||||||||||
|köüh|keüh/e, -än, -äd; -id|a.|кэугэ|бедный|köyhä|||||||||||||||
|köühüz|keuhüs (LMS 127)|s.|кэугюсь|бедность|köyhyys|||||||||||||||
|labid|labj/e, -an, -ad; -oid (LMS 188); (TP) labd'/e, -an, -ad; (V) labid/o, -on, -od; -uoid|s.|лабье|лопата|lapio|(Lm) lunte suomitah labjal||снег сгребают лопатой|lunta lapioidaan lapiolla|||||||||||
|ladu|(TP) ladu|s.||лыжня|latu, suksenlatu|||||||||||||||
avaittu, avonaine, leved|laged|(V) lage/d, -dan, -dad; -d'id|s.||обширный, широкий, открытый, равнинный|lakea, aukea, aava, metsätön|(SP) laged n'iittu||широкое поле (луг)|aukea niitty|||||||||||
|lagi|lag/i, -en, -ed; -id|s.|лаги|потолок|katto, laki|||||||||||||||
|lahk|lahko|s.|лахко|плаха|palkki, lankku (laessa, lattiassa)|||||||||||||||
|lahn|lahn/e, -an, -ad; -uoid|s.|лагнэ|лещ|lahna|||||||||||||||
lahnanparul'|lahnanparuliine|lahnam/parul'iine|s. yhd. dem.|лагнан-парулийнэ|подлещик|pieni lahna|||||||||||||||
|laid|laid/e, -an, -ad; -uoiden, -uoid|s.||||||||||||||||||
|laihina|laihina ~ (TP) -h|adv.|лайгина|взаймы|lainaksi|||||||||||||||
|lainata|laina/ta, -dan, -žin|v.||||lainadan (RKS)|лайнадан|глотаю|nielen|||||||||||
|luak|lua/kke, -kan, -kkad; -kuoid (RKS)|s.|луаккэ|лак|lakka|||||||||||||||
|lambaz|lamba/z ~ -s (RKS), -han, -st; -hid|s.|ламбас|овца|lammas|(V) huahke lambaz||серая овца|harmaa lammas|||||||||||
|lamp|lamp/e, -an, -ad|s.|лампэ|лампа|lamppu|||||||||||||||
|lampatk|lampatk/e, -an, -ad (RKS)|s.|лампадкэ|лампадка|lampukka|||||||||||||||
landehed|landeh|land/iš, -ehn, -šte; -hid; (V) landeh, -en, -te; -id|s.||||||||||||||||||
landeh|landehed|landeh/ed, -id|s. mon.||бёдра|lanteet|||||||||||||||
|lapp I|la/ppe, -pan|s.|лаппэ|пряжка, петля|solki; silmu, silmukka (LyK)|||||||||||||||
|laps'|la/ps'i, -psen, -ste; -ps'iden, -ps'id|s.|лапси|дитя, ребёнок|lapsi|viiž laste||пятеро детей|viisi lasta|||||||||||
|laps'||s.||||(Lm) pappi valau lapsen||священник крестит ребёнка|pappi kastaa lapsen|||||||||||
|laps'||s.||||lapsed (RKS)|лапсэд|ребята|lapset|||||||||||
|laps'||s.||||(TP) kouz lapsed lähtedäh kezoile (LMS 127)||когда дети пойдут купаться|kun läpset lähtevät uimaan|||||||||||
|lapsenkaccuj|lapsen/kaččuoi (RKS)|s. yhd.|лапсэн каччуой|няня, смотрея|lapsenhoitaja|||||||||||||||
|lapsiden-|laps'iden- (RKS)|s.|лапсидэн|детский|lasten-|||||||||||||||
|lašk|lašk/e, -an, -ad; -uoid|a.|лашкэ|ленивый|laiska|||||||||||||||
|laskend|laskende|s.|ласкендэ|заход|lasku|päipašton laskende (RKS)|пяй-паштoн ласкендэ|заход солнца|auringon lasku|||||||||||
|laskeda|lask/eda, -en, -in|v.||пускать|laskea, panna, päästää, antaa lupa|||||||||||||||
vierda|laskedakse|lask/edakse, -eh, -ih|v. refl.||опускаться, ложиться|laskeutua, laskea|laskih čurkal reunah (LMS 355)||улёгся рядом с чурбаном|pani maata pölkyn viereen|||||||||||
|laškuz|laškuz|s.|лашкус|лень|laiskuus|||||||||||||||
lava|lattij|la/t't'ii ~  (Lm) la/t'e, -t't'an, -t't'ad; -t't'uoid|s.|латти|пол|lattia|lat't'ad vast||(ударить) по полу|(lyödä) lattiaan|||||||||||
|laud|laud/e, -an, -ad; -uoid|s.|лаудэ|доска; тёс|lauta|||||||||||||||
|laudaine|lauda/ine, -ižen, -šte; -ižid (RKS)|s. dem.|лаудайнэ|дощечка|lauta (pieni)|laskih čurkal reunah (LMS 355)||улёгся рядом с чурбаном|pani maata pölkyn viereen|||||||||||
|lauk II|lau/kke, -kan, -kkad; -kuoid|s.|лаукэ|лавка|puoti|||||||||||||||
|lauk I|lau/kke, -kan, -kkad; -kuoid|s.|лаукэ|лук|sipuli|||||||||||||||
|laut|lau/tte, -tan, -ttad; -tuoid|s.|лаутэ|плот|lautta|||||||||||||||
|lehm|lehm/e ~ l'ehm/e (OFM), -än, -äd; -id|s.|лэгмэ|корова|lehmä|t'iineh lehme (RKS)||стельная корова|tiine lehmä|||||||||||
|lehm||s.||||maho lehme (RKS)||яловая корова|maho lehmä|||||||||||
|lehm||s.||||lehme kandau (RKS)||корова телится|lehmä kantaa|||||||||||
|lehm||s.||||paimenda l'ehmid!||паси коров!|paimenna lehmiä!|||||||||||
leht', lehte|lehtez|lehte/z ~ -s (RKS), -ksen, -st (LMS 197); -ks'id|s.|лэхтэс|лист (на дереве)|lehti, lehdes|||||||||||||||
lehte, lehtez, lehtuk; seba|leht'|leht/i, -en, -ed|s.||лист; передок (саней)|lehti; reen etuosa, sepi|(SP) lehted kirbot't'ih puulois||листья опали с деревьев|lehdet putosivat puista|||||||||||
|leib|leib/e, -än, -äd; -id|s.|лэйбэ|хлеб|leipä, leipävilja|tukkunaine leibe (RKS)||цельный хлеб, коврига|kokonainen leipä|||||||||||
|tukkunaine|tukkuna/ine, -ižen, -šte; -ižid|a.|||kokonainen_ kokonaisuudessaan|tukkunaine leibe (RKS)||цельный хлеб, коврига|kokonainen leipä|||||||||||
|leikalmuz|leikalmas|s.|лэйкалмас|зарубка; рана|jälki (veitsen, kirveen); haava (veitsen, kirveen)|||||||||||||||
|leikata|lei/kata, -kkadau, -kkai; -katah,  -kattih ~ -ttihe|v.||резать; рубить|leikata; hakata |leik(k)adan (RKS)|лэйкадан|режу, вырезаю|leikkaan, viiltän|||||||||||
|leikata||v.||||raipahuste leikattihe ~ leikattih||прострелы вырубали (лечили)|selkäkipuja katkaistiin (hoidettiin)|||||||||||
armastuz|lemb|lemb/i, -en, -ed|s.||славутность, девичья слава|lempi, rakkaus, naimaonni|lembi nostai (NFL 516)||пустить о себе в людях хорошую молву и привлечь внимание и любовь молодых людей (NFL)|lempeä nostaa|||||||||||
lembennost|lembennostand|lemben/nostand|s. yhd.||поднятие славутности|lemmennosto|||||||||||||||
|lendelta|lende/lta, -len, -l'in|v. frekv.||летать|lennellä|lendelen (RKS)|лэндэлэн|летаю|lennän, lentelen|||||||||||
|lendelta||v. frekv.||||(V) l'iipakod l'endeltah||бабочки летают|perhoset lentelevät|||||||||||
kassnuoraine, kasslent, lentočk, piärihm, rihm, rihmaine|lent|lentte|s.|лэнтэ|лента|nauha|||||||||||||||
kassnuoraine, lent, lentočk, piärihm, rihm, rihmaine|kasslent|(Lm) kasse/lentte|s. yhd.||лента (для косы)|palmikkonauha|||||||||||||||
|lentočk|(TP) lentočk/e, -an, -ad|s.||||||||||||||||||
|lepp|le/ppe ~ (V) le/pp, -pän, -ppäd; -ppiden, -ppid|s.|лэппэ|ольха|leppä|||||||||||||||
|lepaine II|(TP) lepä/ine, -izen, -ste|a.||||(TP) lepäste barbad||ольховой вицы|leppävarpua|||||||||||
|lepöšk|lepeške (RKS)|s.|лэпешкэ|лепешка|kakkara|||||||||||||||
|leta|lendä/i, -n; len'd'i|v.||улетать|lentää|lendän (RKS)|лэндон|улетаю|lennän|||||||||||
|leva|leva, -n, -d (RKS)|s.|лэва|лев|leijona|||||||||||||||
|leved|leve/d ~ -i, -dän, -däd; -d'id|a.|лэвэд|широкий|leveä|||||||||||||||
katt, katuz, kroun’|levo|levo, -n, -d|s.|лэво|крыша, кровля|katto, ulkokatto|||||||||||||||
|ležank|ležanke (RKS)|s.|лэжанкэ|лежанка|uuninpankko, pankko|||||||||||||||
parata|lieččida|l'ie/ččida, -čin, -čiin; -čitäh,- čittih ~ -čittihe|v.||лечить|lääkitä, hoitaa|l'iečin (RKS)|лиэчин|лечу|lääkitsen|||||||||||
|lieččida||v.||||raipahuste l'iečittihe ~ l'iečittih||прострелы лечили|selkäkipuja hoidettiin|||||||||||
|lienou|(TP) lienou|part.||||||||||||||||||
redu|liga|lig/a, -an, -ad|s.|лига|грязь|lika|||||||||||||||
|ligo|ligo|s.|лиго|мочало (RKS)|liko|||||||||||||||
|ligoh|ligoh|adv.||||siid pelvas pandah ligoh vedeh (LMS 304)||потом лён отмачивают в воде|sitten pellavat pannaan likoon|||||||||||
|liha|lih/a, -an, -ad; -uoid|s.|лига|мясо, говядина|liha, naudanliha|||||||||||||||
|liikuttada|liiku/ttada, -tan; -ttau|v.||двигать, шевелить; качать; мешать (ил)|liikuttaa; keinuttaa, soudattaa (lasta); sekoittaa (muta)|liikutan (RKS)|ликутан|шевелю, качаю|liikutan, keinutan|||||||||||
|||||||||||||||||||||
|limon|limon (RKS)|s.|лимон|лимон|sitruuna|||||||||||||||
|lind|lind (LMS 205) ~ lind/u (RKS), -un, -ud; -uid|s.|линду|птица, дичь (RKS)|lintu|(V) l'indun küna||перо птицы|linnun kynä|||||||||||
|lind||s.||||äi lindut (RKS)|ай линдут|много птиц, много дичи|paljon lintuja|||||||||||
lindukkahaine|lindžoi|lind'ž/uoi, -uoin, -uoid; -oluoid|s.|линджуой|костяника|lillukka|||||||||||||||
lindžoi|lindukkahaine|(V) lindukkahai/ne, -izen|s.||костяника|lillukka|||||||||||||||
|lineik|lin'ei/kke, -kan, -kkad; -kuoid (RKS)|s.|линейкэ|линейка|viiva, viivoitin, rivi|||||||||||||||
|lips|lipsu, -n, -d; -uoid|s.|липсу|трепало|lihta, lipsu|||||||||||||||
lipsuttada|lipsuta|lipsu/ta, -dan, -žin|v.||трепать лён, очищать от костры волокно|lipsuta, lihdata|lipsudan (RKS)|липсудан|треплю (лен)|lihtaan (pellavaa)|||||||||||
|list|list/e, -an, -ad; -uoid|s.|листэ|лист (бумаги, железа)|arkki, lehti, levy|||||||||||||||
|liuh|liuh/e, -an, -ad; -uoid|s.||||||||||||||||||
snuap|liuhteh|l'iuhte/s ~ l'uhte/(h) (RKS), -hen; -hid; (Lm) liühteh; (TP) liufte/h, -hen; -hid|s.|лиухтэ|сноп|lyhde, sidoin|(TP) liuftehed pandah kühlähile||снопы складывают в бабки|llyhteet pannaan kuhilaille|||||||||||
|liuhteh||s.||||(TP) kagre rahnotah čirpil liuftehile, pandah kühlähäizile||овёс жнут серпом в снопы, складывают в суслончики|kauraa leikataan sirpillä, pannaan kuhilaille|||||||||||
liuhteh|snuap|(V) snua/ppu, -pun, -ppud; -puid|s.||сноп|lyhde, sidoin|||||||||||||||
|lohi|loh/i, -en, -te; -id|s.|логи|лосось|lohi|||||||||||||||
lohkan|lohkan'|lahan'i ~ (V) lohan' ~ (TP) luahan'n'e|s.|лахани|лохань|soikko, vesisaavi|||||||||||||||
lohkan|lohkanaine|(Lm) loahan'aine|s. dem.||лоханка|soikko (pieni), vesisaavi (pieni)|||||||||||||||
|loitoine|loito/ine, -ižen|a.|лойтойнэ|дальний|kaukainen|||||||||||||||
|loitomb|loitombi (RKS)|adv. komp.|лойтомби|дальше|pitempi, kauempi|||||||||||||||
edahan|loitton|loitton|adv.|лойтон|далеко|kaukana, etäällä|||||||||||||||
ei-edahan|ei-loitton|ei/loit(t)on|adv. yhd.||недалеко, невдалеке|lähellä|||||||||||||||
|loma II|loma (RKS)|s.|лома|лом|rautakanki|||||||||||||||
lomu|lomud|lomud|s. mon.|ломуд|сор|hylkytavara|||||||||||||||
|lomuta|lomu/ta, -dan, -žin|v.||сорить|heitellä roskia|lomudan (RKS)|ломудан|сорю|heittelen roskia|||||||||||
|loškada|loška/i, -u|v.||стучать, хлопать|kolista, loksua; läiskää; paukkua; kolistella|loškau (RKS)|лошкау|бьёт, трещит|paukkuu|||||||||||
|losnida|lošn'i/da, -u, -i|v.||||lošniu (RKS)|лошниу|блестит|loistaa|||||||||||
|louk|lou/kko, -kon, -kkod; -k(k)uoid (LMS 213)|s.|лоуко|нора, дыра|luola, reikä|loukot azuta(h) (RKS)|локот азута|выдалбливают, делают дыру|taltaavat|||||||||||
|loukuttada|louku/ttai, -tan, -t'in|v.||||loukutan (RKS)|лоукутан|мну|pehmitän|||||||||||
|luad|luad, -un, -ud; -uid|s.||||seppe azuu raudas kaikked luadud raudebrujad||кузнец изготавливает из железа железные вещи всякого свойства|seppä tekee raudasta kaikenlaisia rautaesineitä|||||||||||
|luadon|luadan ~ luadon (RKS), -al|s.|луадонъ|ладан, ладон (RKS)|suitsutuspihka, pyhäsavu|nuotte kuajitah kadail, luadanal (LMS 160)||невод окуривают можжевельником, ладаном |nuotta suistutetaan katajalla, pyhälläsavulla|||||||||||
|luap|luape (RKS)|s.|лапэ|лапа|käpälä|||||||||||||||
|luar'|luari, -n|s.|луари|ларь|laari|||||||||||||||
|purn|puurn/u ~ (Lm, TP, V) purn/u, -un, -ud; -uid|s.||||||||||||||||||
|lugeda|lug/eda, -en, -in; -ou, -i|v.||читать; считать|lukea; laskea|lugen (RKS)|лугэн|читаю; считаю|luen; lasken|||||||||||
|lugeda||v.||||lugen uudessa (RKS)|лугэнъ уудэсса|пересчитываю, считаю снова|lasken uudestaan|||||||||||
|lugeda||v.||||tüö lugette||вы читаете|te luette|||||||||||
|lugij|lugij, -an, -ad|s.|лугий|чтец|lukija|||||||||||||||
|luht|luht/e, -an, -ad|s.|лухтэ|лужа|lätäkkö|||||||||||||||
|luja|luja (RKS)|a.|луя|крепкий (материя)|luja|||||||||||||||
|lujeta I|luje/ta, -ndan, -n'd'in|v.||укреплять|lujentaa, vahvistaa|lujen'd'in (RKS)|луэндин|я укрепил|lujensin|||||||||||
|lukk|lukku|s.|лукку|замок|lukko|||||||||||||||
|lukošk|lukošk/e, -an, -ad|s.|лукошкэ|лукошко|niinikoppa|||||||||||||||
|lukuta|lukuta, lukkudan, lukkužin|v.||замыкать|lukita|lukkudan (RKS)|луккудан|замыкаю|lukitsen|||||||||||
|lumi|lu/mi, -men, -nte ~ (V) -nde; -mid|s.|луми|снег|lumi|(Lm) lunte suomitah labjal||снег сгребают лопатой|lunta lapioidaan lapiolla|||||||||||
|luod|luodo|s.|луодо|луда|luoto|||||||||||||||
no|luo|lo ~ lö ~ (SP) luo ~ (SP) lüö |postp.||у, к|luo, luona, luo|kod'il lo azutah ||у дома делают|talon luona tehdään|||||||||||
|luoda|luo/da, -n, -in|v.||сновать основу|luoda (kangasta)|luon (RKS)|луон|сную|luon (kangasta)|||||||||||
lude, lutik|lutti|lu/t't'i, -t'in, -t't'id; -t'iid|s.|лутти|клоп|lude, lutikka|||||||||||||||
|luttihein|lut't'i/heine (NFL 515)|s. yhd.||погремок узколистный, трава от клопов|isolaukku|||||||||||||||
|luuk|(TP) luu/kke, -kan|s.||лук (растение)|sipuli, laukka|||||||||||||||
|luu|luu, -n, -d; (V) luid|s.|луу|кость|luu; ruoto|||||||||||||||
|luud|luud/e, -an, -ad|s.|луудэ|метла, голик|varpuluuta|||||||||||||||
|luzik|luzi/kke, -kan, -kkad; -kuoid|s.|лузиккэ|ложка|lusikka|||||||||||||||
|lükkida|lü/kkida, -kin, -kiin|v.||||lükin (RKS)|люкин|бросаю, кидаю,  выкидываю|heitän, viskaan, nakkaan, paiskaan|||||||||||
|lüödä|lüö/dä, -n, -id; -u, -i|v.||||lüön (RKS)|люён|бью|lyön|||||||||||
|läbi|läbi (LMS 222) ~ läbü (RKS, OFM)|adv.-adp.|лябю|насквозь, сквозь, через|läpi, lävitse|läbü veris (TTV) loits.||сквозь крови|läpi verten|||||||||||
|lähin|lähin|adv.|лягин|близко|lähellä, läheisesti|||||||||||||||
|lähte|lähte, -gen, -tte; -gid|s.|ляхтэ|прорубь|avanto|lähtegeh||в прорубь|avantoon|||||||||||
|lähtä|(Ph, TP, V) läh/tedä ~ (Ph) -täi, -ten, -t'in ~ -tin; -tedäh|v.||отправляться, уходить, пойти, уезжать|lähteä, mennä, erottua, irtaantua|lähten (RKS)|ляхтэн|ухожу|lähden|||||||||||
|lähtä||v.||||(TP) kouz lapsed lähtedäh kezoile (LMS 127)||когда дети пойдут купаться|kun läpset lähtevät uimaan|||||||||||
|lähtä||v.||||kursile lähtin||я пошла на курсы|lähdin kursseille|||||||||||
|lähtä||v.||||lähti Ilmoi kulgemah (NFL) kansanr.||двинулся Илмаринен (дальше)|lähti Ilmarinen kulkemaan|||||||||||
|lähtä||v.||||(SP) tukul läht'i puu (LMS 451)||целиком вышло дерево|juurineen lähti puu|||||||||||
|lähtä||v.||||(Pn) kouz lähtimme pogostal da n'umaloih mänimme  (OLR 46)||когда мы отравлялись из погоста и шли на богомолье|kun lähdimme kirkonkylästä ja menimme rukoilemaan|||||||||||
|lähtä||v.||||(SP) reunas lähte iäres! (LMS 355)||уходи отсюда прочь!|mene pois vierestäni!|||||||||||
|lähtä||v.||||läkkä kod'ih heboluoil!||поехали домой на лошадях!|lähtekäämme kotiin hevosilla!|||||||||||
|lähtäm|lähtäm ~ (Lm) lähtem, -än, -äd|s.|ляхтям|тёлка, нетель|hieho|||||||||||||||
|lähtämäine|lähtämäine (RKS) ~ (Lm) lähtemäine|s. dem.||тёлка (маленькая)|pikku hieho|||||||||||||||
lämbištuda|lämbita|lämmi/tä, -dän, -žin|v.||греться, нагреваться; топиться (печь)|lämmitä, lämmetä, tulla lämpimäksi|lämmidan (RKS)|ляммидан|греюсь|lämmittelen|||||||||||
|lämbittada|lämmi/ttäi, -tän, -tin; -ttäu, -tti; -tetäh, -tettih|v.||греть, нагревать; отоплять, топить (печь)|lämmittää|lämmitän (RKS)|ляммитан|грею|lämmitän|||||||||||
|lämbittada||v.||||riihi lämmitetäh||ригу топят|riihi lämmitetään|||||||||||
|lämbittada||v.||||tulel lämmitetäh||на огне греют|tulella lämmitetään|||||||||||
|lämm|lämm/e ~ l'ämm/e, -än, -äd|a.|ляммэ|тёплый|lämmin|lämme vezi ||тёплая вода|lämmin vesi|||||||||||
|lämm|lämme|a.|ляммэ|тепло|lämmintä|||||||||||||||
|länged|läng/ed, -id|s. mon.|лянгэ|хомут|länget|||||||||||||||
|läpettada|läpe/ttäi, -tän, -t'in|v.||блестеть, сверкать; мигать, моргать|lepattaa, kiiltää, vikuttaa, räpyttää|läpetan (RKS)|ляпэтан|мигаю (часто)|räpytän (silmiäni)|||||||||||
löpöid; virz|löpöi|löpüöi, -n, -d|s|лёпюёй|лапоть|virsu, vanha virsu (jolla lattiaa pestään)|||||||||||||||
löpöi; virzud|löpöid|löpüöid ~ lepüöit (RKS)|s. mon.|лэпюёйт|лапти|virsut|||||||||||||||
|lötöi|lötüöi, -n, -d; (V) lotuoi, -n, -d|s.||лягушка|sammakko|||||||||||||||
|löüdänd|löudande (RKS)|s|лёудандэ|находка|löytö|||||||||||||||
|löühkäda|l'öüfk/äi, -än, -in|v.||хвастаться|kerskailla, kerskua|l'öüfkän (RKS)|лэукян|хвастаю(сь)|kerskailen|||||||||||
|löütä|löü/tä  ~ l'öü/tä, -dän, -d'in|v.||находить|löytää|löüdän ~ l'öüdän (RKS)|лёудан|нахожу|löydän|||||||||||
|madal|madal|a.|мадал|мель; мелко|matala|||||||||||||||
|madeh|madeh, -en, -te; -id |s.|мадэ|налим|made|voimme ongittai madehte (LMS 283)||можем половить налимов|voimme onkia madetta|||||||||||
|mado|mado|s.|мадо|змея, гад, гадюка|käärme|||||||||||||||
madeh|madehine|madehi/ne, -žen, -šte; -žid|s. dem.||налим, налимчик|made (pieni)|šalguz vedälzin madehižen (LMS 227)||из рюкзака я вытащил налимчика|vetäisin repusta mateen|||||||||||
|madoine|mado/ine, -ižen, -šte; -ižid|s. dem.|мадойнэ|червь|mato|||||||||||||||
|magata|maga/ta, -dan, -žin; -dau, -ži; -tah|v.||||magadammas tabažin (LMS 423)||я спящим застал|makaamasta tapasin|||||||||||
|magata||v.||||magadan (RKS)|магадан|сплю|nukun|||||||||||
|maged|mage/d ~ -i, -dan, -dad; -d'id|a.|магэд|сладкий|makea|||||||||||||||
