synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|s.|hokkei|hokkei|хоккей|jääkiekko|||||||||
|s.|hokkejist|hokkejist, -an, -ad|хоккеист|jääkiekkoilija|||||||||
|s.|holodilnik|holod’il’n’ik, -an, -ad|холодильник|jääkaappi|||||||||
|s.|vilik|vil'ik, -on, -od; -uun, -uud|плесень|home, homesieni|vil'ik om muar'al da maidol, s'ien'iil (PN)|плесень на ягодах да молоке, на грибах|home on marjoissa ja maidossa, sienissä|l'eib om vil’ikos (KTK)|хлеб в плесени|leipä on homeessa|||
|s.|homeh|home/g, -gen, -kt; -giin, -giid|плесень (на хлебе)|home, homesieni (leivässä)|homeg om l'eibas (PN)|плесень на хлебе|home on leivässä|homeged oma|плесень есть|on homeita|||
|v.|homehtuda|homehtu/da, -b, -i; -taze, -t’ihe|плесневеть, заплесневеть|homehtua|homehtutaze (KTK)|(они) заплесневеют|homehtuvat||||||
|s.|homehtuz|homehtu/z, -sen, -st; -s’iin, -s’iid|плесневелость|homehtuminen|||||||||
pedajaine, mändüine|a.|hongaine|honga/an’e, -ažen, -št; -ažiin, -ažiid|сосновый, кондовый|honkainen|hongaan'e puu (LMS 75)|кондовое дерево, кондовая сосна|petäjä, jossa pehmeätä pintaa vähän, paljon kovaa, tervaista, kuivaa, keveää puuta||||||
pedahaine|s. dem.|hongahaine|honga/an’e, -ažen, -št; -ažiin, -ažiid|сухая сосенка|honka (pieni)|||||||||
pedajik, mändik|s.|hongik|hongik, -on, -od; -uun, -uud|сосняк|hongikko|hongikos|в сосняке|hongikossa||||||
hongik, mändik|s. yhd.|honganboru|hongan/boru (OFMa) |сосновый бор|hongikko, männikkö|||||||||
|s.|hor’k|hor’k, -an, -ad|хорёк|hilleri|||||||||
|s.|hora|hora, -n, -d|хор|kuoro|||||||||
|s.|horovod|horovod, -an, -ad|хоровод|piirileikki|||||||||
hot, *-taht|part.|hoš|hoš|хоть|vaikka, tahansa|||||||||
|s.|höšte|höšt/e, -ken, -et ~ höštö, -n, -d |навоз, помёт, удобрение|lanta|höšt’öd vedades|при перевозке навоза|lantaa kuljettaessa||||||
|v.|vedada||||höšt’öd vedades|при перевозке навоза|lantaa kuljettaessa||||||
puar II|s.|höür|(Pal) heir, -un, -ud; -uin, -uid|пар|höyry|||||||||
ižandoičuz, talohuz|s.|hoz’aistv|hoz’aistv, -an, -ad|хозяйство|talous|||||||||
|hn.|Hristos|Hristos|Христос|Kristus|Iisus om Hristos, Poig Božij (ND) kirj.|Иисус есть Христос, Сын Божий|Jeesuksen olevan Kristus, Jumalan Poika||||||
|s.|hronik|hron’ik, -an, -ad|хроника|kronikka|||||||||
|s.|hronometr|hronometr, -an, -ad|хронометр|kronometri|||||||||
|s.|hrustal’|hrustal’|хрусталь|kristalli|||||||||
|v.|huigaita|huigaa/ta, -dab, -ž ~ -žii; -taze, -t’ihe|позорить, срамить, опозорить; стыдить, совестить, усовестить|häväistä, saada häpeämään|||||||||
|a.|huiged|hui/ged, -ktan, -ktad; -ktiin, -ktiid|стыд, позор; стыдно, совестно|häpeällinen; häpeä; hävettää|||||||||
huigedatoi|a.|huigimatoi|huigimat/uu, -oman, -omad; -omiin, -omiid (IL)|бессовестный|hävytön|||||||||
|s.|huligan|hul’igan, -an, -ad|хулиган|huligaani|||||||||
|s.|humal|humal, -an, -ad|хмель|humala|||||||||
vessel'as, vessel’aižes|adv.|humalas|humalas|||||||||||
|a.|humalahine|humalahi/in’e, -ižen, -št; -ižiin, -ižiid|хмельной|humalluttava|||||||||
|v.|humalduda|humaldu/da, -b, -i; -taze, -t’ihe|хмелеть, охмелеть, пьянеть, опьянеть|humaltua|||||||||
|s.|humalnik|humal’n’ik, -an, -ad; -uun, -uud|пьяница|juoppo, juomari|||||||||
|v.|humaloita|humaluu/ta, -čob, -č ~ -čii; -taze, -t’ihe|пьянствовать, кутить|juopotella|||||||||
|v.|hünäita|hünää/ta, -dab, -ž ~ -žii; -taze, -t’ihe (KTK)|гнусавить; канючить, ныть|honottaa; marista, mankua|häin hünäädab da oman ottab (KTK)|он канючит и своё получит|hän saa omansa marisemalla||||||
hengastuda|v.|huogastuda|huogastu/da, -n, -in; -b, -i; -taze, -t’ihe|отдыхать, отдохнуть|levätä|||||||||
huogastuda|v.|hengastuda|hen'gastu/da, -n, -in; -b, -i; -taze, -t’ihe (KTK)|отдыхать, отдохнуть|levätä|||||||||
hengastuda, huogastuda|v.|oddohn'ida|oddohn'i/da, -n, -in; -b, -i; -taze, -t’ihe|отдыхать, отдохнуть|levätä|||||||||
|s.|oddoh|oddih, -an, -ad; -uun, -uud|||||||||||
huogiž|adv.|huogehes(ti)|huoghes|дёшево|halvalla|||||||||
|a. komp.|huogehemb|huoghemb, -an, -ad; -iin, -iid|||||||||||
|v.|huogištada|huogiš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|удешевлять, удешевить|huojistaa, alentaa hintaa|||||||||
|v.|huogištuda|huogištu/da, -b, -i; -taze, -t’ihe|дешеветь, подешеветь|huojistua, halventua, halveta|||||||||
|a.|huogištunu|huogištunu, -den, -t; -z’iin, -z’iid|подешевевший|huojistunut, halventunut|||||||||
|a.|huogiž|huog/iž, -hen, -išt|дешёвый|halpa|||||||||
|v.|huolduda|huoldu/da, -b, -i; -taze, -t’ihe|заботиться|huolehtia|||||||||
|s. mon.|huoled|huol'/ed, -iin, -iid|хлопоты|huolet|||||||||
|a.|huolikaz|huoleka/z, -han, -st; -hiin, -hiid|заботливый|huolehtiva|||||||||
|a.|huomelline|huomel’i/in’e, -ižen, -št; -ižiin, -ižiid|завтрашний|huominen|||||||||
|a.|huon|huon, -on, -od; -uun, -uud|некрепкий|heikko|||||||||
|a.|huondekselline|huomesel’i/in’e, -ižen, -št; -ižiin, -ižiid|утренний|aamuinen|||||||||
|s. mon.|huonuksed|huonu/sed, -s'iin, -s'iid|помещения|huoneet, tilat|suured huonused|хоромы|asuinhuoneet, tilavat huoneet||||||
|s.|huonuz|huonu/z, -sen, -st; -s’iin, -s’iid|жилище, комната, здание|huone, rakennus|||||||||
|v. mom.|hüpnida|hüpn’i/da, -b, -i; -taze, -t’ihe|прыгнуть, подпрыгнуть, вспрыгнуть, вскочить|hypätä, hypähtää|häin hüpn'ii (KTK)|он вскочил, он вспрыгнул|hän hyppäsi|hüö hüpn'it'ihe (KTK)|они вскочили, они вспрыгнули|he hyppäsivät|||
|s.|hurač|hurač|левша|vasenkätinen|||||||||
hurale(piä)|adv.|hurah(piä)|huraha|влево, налево (куда)|vasemmalle|||||||||
huras|adv.|hural|hural (IL)|слева, налево (где)|vasemmalla, vasemmalta|||||||||
hurah(piä)|adv.|hurale(piä)|hural'e (KTK)|налево (куда), влево|vasemmalle|||||||||
hural|adv.|huras|huras (IL)|слева, налево (где)|vasemmalla, vasemmalta|||||||||
allelevitez |s.|hurst'|hurst', -in, -id; -iin, -iid|половик, простыня|matto, lattiamatto, lakana|||||||||
hurst'|s. dem.|hurstiine|hurst'i/in’e, -ižen, -št; -ižiin, -ižiid|простыня|lakana|||||||||
|s.|hüübij|hüüb’ju (KTK)|филин|hyypiä, huuhkaaja|||||||||
|s.|huude|huude|иней|huude, huurre|||||||||
|v. mom.|huuhtaita|huuhtaa/ta ~ huhtaa/ta (IL), -dab, -ž ~ -žii|сполоснуть|huuhtaista|||||||||
|v.|huuhtoda|huuhtu/uda ~ huhtu/uda  (IL), -ub, -u|полоскать, выполоскать, обмывать, промывать|huuhtoa, huuhdella|||||||||
|s.|huuliden-|huul’iin-|губной|huuli-|||||||||
huul'|s. mon.|huuled|huul’/ed, -iin, -iid|уста, губы|huulet|ot't'ihe huul'iil'e hänen (ND) kirj.|поднесли к устам его|nostivat hänen huulilleen||||||
|s. yhd.|huulidenkruask|huul’iin/kruask|помада|huulimaali|||||||||
|adv.|hüväižesti|hüvääžest’i|хорошенько; вежливо|kunnolla; kohteliaasti|||||||||
hüväsüdämine; *-südämelline|a. yhd.|hüväsüdämelline|hüvä/s’üdämel'iin’e|добродушный|hyväsydäminen|||||||||
čomendeltakse, hvuastaita, löühkäda|v.|hvuastaida|hvuasta/ada, -ab, -a; -ataze, -at’ihe|хвастать, хвастаться|kerskua|||||||||
|a.|iänikaz|iän’eka/z, -han, -st; -hiin, -hiid|голосистый|äänekäs|||||||||
|adv.|iäres|iäres (IL)|долой|pois|||||||||
|a. yhd.|ičelsiättü|ičel/s’iätud|самодельный|omatekoinen|||||||||
|s.|idävüz|idävü/z, -sen, -st; -s’iin, -s’iid|всхожесть|itävyys|||||||||
|a.|ideinoi|id’ein/ij, -uun, -uud |идейный|aatteellinen|||||||||
|s.|idij|id’eja, -n, -d|идея|idea, aate|||||||||
|s.|idijal|id’eal, -an, -ad|идеал|ideaali|||||||||
ni kus|adv. yhd.|iele-kus|iel’e/kus|негде, неоткуда|ei missään, ei mistään|||||||||
|pn.|Ierusalim|Ierusal'm, -an, -ad|Иерусалим|Jerusalim|i äjad heiš kaikes muas tuld’ihe Ierusal’imaha (ND) kirj.|и многие из них из всей страны пришли в Иерусалим|ja monet heistä koko maasta tulivat Jerusalemiin||||||
|adv.|igaks|igaks|навек, навеки, навечно, навсегда|iäkseen, iäksi|kn’iigan anduu igaks (KTK)|книгу отдал навсегда|kirjan antoi iäkseen||||||
|s. yhd.|igen’oi-agen’oi|igen’uu-/agen'uu ~ -agan’uu (IL)|улитка|etana|||||||||
|adv.|ihan|ihan|совершенно|ihan|||||||||
ihastuda|v. refl.|ihasteldudakse|ihastel’du/dakse, -ze, -ihe(ze)|восхищаться|ihastua, ihastella|||||||||
|v. frekv. refl.|ihasteltakse|ihaste/l’da, -l’ob, -l’ ~ -l’ii|наслаждаться|nauttia|||||||||
ihastuttada|v.|ihastoittada|ihastuu/t(t)a ~ ihastui/tta, -tan, -t'iin (KTK)|обрадовать, порадовать|ihastuttaa, saattaa iloiseksi|||||||||
heinkuu|s. yhd.|ijul’kuu|ijul’/kuu|июль|heinäkuu|||||||||
kezakuu|s. yhd.|ijun’kuu|ijun’/kuu|июнь|kesäkuu|||||||||
|s. dem.|ikkunaine|ikna/an’e ~ ikkuna/an’e (IL), -ažen, -št; -ažiin, -ažiid|окошко|ikkuna (pieni), aukko|||||||||
|s.|ikr|ikr, -an, -ad; -uun, -uud|икра|mäti|||||||||
|s. mon.|ikrad|ikr/ad, -uun, -uud|икры|pohkeet|||||||||
|v.|ildaštada|ildaš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|ужинать|syödä illallista|rubeta ildaštamaha|приниматься за ужин|alkaa syödä illallista||||||
|s.|ill’uminator|il’l’uminator, -an, -ad|иллюминатор|laivanikkuna|||||||||
|s.|ill’uzij|il’l’uz’ij, -an, -ad|иллюзия|illuusio|||||||||
|v.|imeda|im/eda, -ob, -ii|сосать|imeä|||||||||
|v. refl.|imedakse|im/edakse, -eze, -iihe(ze)|насосаться|imeä kyllikseen|||||||||
olda|v.|imeida|ime/ida, -ib, -i; -itaze, -it’ihe (KTK)|иметь|omistaa, olla|sija ed imeiž n'i mittušt vlast'id (ND) kirj.|ты не имел бы никакой власти|sinulla ei olisi mitään valtaa||||||
|s.|imettaj|imetaj, -an, -ad|кормилица|imettäjä|||||||||
|s.|imigrant|imigrant, -an, -ad|иммигрант|maahanmuuttaja|||||||||
kummalline|a. yhd.|imminkummaine|immiin/kummaan’e|несуразный|sopimaton|||||||||
|adv. yhd.|imminkummin|immiin/kummiin|небрежно|huonosti, kehnosti|||||||||
|s.|imperator|imperator, -an, -ad|император|imperaattori|||||||||
|s.|imperializm|imperial’izm, -an, -ad|империализм|imperialismi|||||||||
|s.|imperij|imper’ij, -an, -ad|империя|imperiumi|||||||||
|s.|import|import, -an, -ad|импорт|importti, tuonti|||||||||
|s.|improvizacij|improvizacij, -an, -ad|импровизация|improvisaatio|||||||||
|s.|incident|incid’ent, -an, -ad|инцидент|välikohtaus|||||||||
|s.|ind’uk|ind’uk, -an, -ad|индюк|kalkkunakukko|||||||||
indiaine|s.|indeič|ind’eic, -an, -ad|инеец|intiaani|||||||||
|s.|indeik|ind’eik, -an, -ad|индейка|kalkkuna|||||||||
indijalaine|adv.|indiiskoi|ind’iisk/ij, -uun, -uud |индийский|intialainen|||||||||
|s.|infl’acij|infl’acij, -an, -ad|инфляция|inflaatio|||||||||
|s.|injekcij|injekcij, -an, -ad|инъекция|injektio|||||||||
|s.|inkubator|inkubator, -an, -ad|инкубатор|hautomakone|||||||||
vierahanmualaine|s.|inostranč|inostranc, -an, -ad|иностранец|ulkomaalainen|||||||||
|s.|inssenirofk|inscen’irofk, -an, -ad|инсценировка|näyttämösovitus|||||||||
|s.|inspektor|inspektor, -an, -ad|инспектор|inspehtori, tarkastaja|||||||||
|s.|instinkt|inst’inkt, -an, -ad|инстинкт|vaisto|||||||||
|s.|institut|inst’itut, -an, -ad|институт|instituutti|||||||||
|s.|instrukcij|instrukcija, -n, -d|инструкция|ohjesääntö|||||||||
|s.|instruktaž|instruktaž, -an, -ad|инструктаж|ohjaus|||||||||
|s.|instrument|instrument, -an, -ad|инструмент|instrumentti|||||||||
|s.|intellekt|int’el’l’ekt, -an, -ad|интеллект|intellekti|||||||||
|s.|intelligent|int’el’l’igent, -an, -ad|интеллигент|intelligentti|||||||||
|s.|interjer|interjer, -an, -ad|интерьер|interiööri|||||||||
|s.|internacional|internacional, -an, -ad|интернационал|internationaali|||||||||
|s.|internat|internat, -an, -ad|интернат|internaatti|||||||||
|s.|intervencij|intervencij, -an, -ad|интервенция|interventio|||||||||
|s.|intervidenij|intervid’en’ie|интервидение|intervisio (laulukilpailun nimi)|||||||||
|s.|intervjuu|intervju, -n, -d|интервью|haastattelu|||||||||
|s.|intonacij|intonacij, -an, -ad|интонация|intonaatio|||||||||
|s.|invalid|inval’id, -an, -ad|инвалид|invalidi|||||||||
|s.|inventar’|inventar’, -an, -ad; -iin, -iid|инвентарь|inventaari, kalusto|||||||||
|s.|inžiner|inžen’er, -an, -ad|инженер|insinööri|||||||||
|s.|ironij|iron’ij, -an, -ad|ирония|ironia|||||||||
irvottada|v.|irvištada|irviš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe (IL)|скалить, оскалить|irvistää|||||||||
irvištada|v.|irvottada|irvo/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe (KTK)|скалить, оскалить|irvistää|||||||||
|s.|irvištelemine|irvištel’emi/in’e, -ižen, -št; -ižiin, -ižiid|глумление, гримасничанье|irvistely, pilkka, herjaus, rienaus|||||||||
niärittada|v. frekv.|irvištelta|irvište/l’da, -l’ob, -l’ ~ -l’ii|глумиться, скалить (зубы), корчить (рожи)|irvistellä, pilkata, rienata, herjata|irvištel’da rožad|гримасничать, корчить рожи|irvistellä||||||
|v. refl.|iškedakse|iš/takse, -keze, -kiihe(ze)|удариться|iskeä|||||||||
|s.|iškend|iškend, -an, -ad|ударение|iskeminen|||||||||
|s.|hištorikoi|istor’ik, -an, -ad|историк|historikko|||||||||
|s.|istruktor|istruktor, -an, -ad|инструктор|ohjaaja|||||||||
|s.|ištund|ištund, -an, -ad|сидение|istuminen|||||||||
|s.|ištutand|ištutand, -an, -ad|посадка|istuttaminen|||||||||
heikkada, mälišta, ravišta, vonguda|v.|itkeda|it’ta ~ it’kta ~ itta, it’kob, it’k ~ it’kii; it’(k)taze, it’(k)t’ihe|плакать, жаловаться, печалиться, кручиниться, оплакивать, причитать|itkeä, valittaa, surra, murehtia|akk, mida siä itked? (ND) kirj.|жена, что ты плачешь?|mitä itket, nainen?||||||
|v.|itkeda||||üks’ suu it’kob i nagrab (OF) sl. kirj.|один рот плачет и смеётся|sama suu itkee ja nauraa||||||
|v.|itkeda||||rubeta it’maha (IL)|заплакать|alkaa itkeä||||||
itkuč|a.|itkij|it’kij, -an, -ad; -uun, -uud|плачущий|itkevä|||||||||
itkij|a.|itkuč|it’kuč, -an, -ad|плаксивый; плакса|herkkäitkuinen, itkuinen, itkeskeleväinen, paljon itkevä; itkusuu, itkupilli, poraaja (lapsi)|it’kuč laps' (PN)|плаксивый ребёнок, плакса|paljon itkevä lapsi, itkusuu||||||
|s.|iz’uum|iz’um, -an, -ad; -uun, -uud|изюм|rusinat|||||||||
ižač|s.|iža|iža, -n, -d|самец; старый дед|uros, koiras; vanha ukko|||||||||
iža|s.|ižač|ižač, -un, -ud; -uin, -uid|самец|uros, koiras|||||||||
ižačkoir|s. yhd.|ižakoir|iža/koir|кобель|uroskoira|||||||||
ižakoir|s. yhd.|ižačkoir|ižač/koir (IL)|кобель|uroskoira|||||||||
|s. yhd. mon.|ižandad-emagad|ižandad/emagad|хозяева|isäntäväki|||||||||
|v.|ižandoida|ižanduuda (IL)|хозяйничать|hallita, isännöidä|||||||||
|v.|ižandoita|ižanduu/ta, -čob, -č ~ -čii; -taze, -t’ihe|владеть; хозяйничать|omistaa; hallita, isännöidä|||||||||
|s. yhd.|ižapočč|iža/počč|хряк, боров|karju|||||||||
|s.|iždivenč|ižd’ivenč, -an, -ad|иждивенец|huollettava, elätti|||||||||
|s.|izmennik|izmen’n’ik, -an, -ad|изменник|petturi, kavaltaja|||||||||
|s.|izumrud|izumrud, -an, -ad|изумруд|smaragdi|||||||||
|s.|izveržen’ij|izveržen'ij, -an, -ad|извержение|purkaus; purku|||||||||
ilmoittada|v.|izvestida|izvest’i/da, -b, -i; -taze, -t’ihe (KTK)|известить, возвестить|tiedottaa, ilmoittaa |Mar’ija mänob i izvest’ib učen’ikuul’e (ND) kirj.|Мария идёт и возвещает ученикам|Maria menee opetuslasten luo ja ilmoittaa||||||
deurij|s.|iudij|iudej, -an, -ad; -uun, -uud|иудей|juulatainen|t'äman kir'itesen luget'ihe äjad iudejad (ND) kirj.|эту надпись читали многие из иудеев|tämän kirjoituksen lukivat monet juutalaiset||||||
|s. mon.|itkud|it'ku/d, -in, -id|||||||||||
|s.|d'ačeik|jačeik, -an, -ad|ячейка|solu, lokero; kenno|||||||||
|a.|jadovitoi|jadovit/ij, -uun, -uud |ядовитый|myrkyllinen|||||||||
|s.|d'uad|jadu, -n, -d; -in, -id|яд|myrkky|||||||||
|s.|d'aht|jaht, -an, -ad|яхта|pursi, purjevene|||||||||
|s.|d'antar’|jantar’, -an, -ad|янтарь|meripihka|||||||||
pakažkuu |s.|d'anvar’kuu|janvar’/kuu|январь|tammikuu|||||||||
|s.|d'arlik|jarlik, -an, -ad|ярлык|"hintalappu; leima
"|||||||||
kierduz|s.|d'arus|jarus, -an, -ad|ярус|kerros|||||||||
|s.|d'azv|jazv, -an, -ad|язва|haavauma|||||||||
|s.|depiskop|jepiskop, -an, -ad|епископ|piispa|||||||||
|s.|d'ubilij|jubil’ej, -an, -ad|юбилей|vuosijuhla|||||||||
|s.|d'urist|jur’ist, -an, -ad|юрист|lakimies|||||||||
|s.|d'uvelir|juvel’ir, -an, -ad|ювелир|kultaseppä|||||||||
|v.|kabaloita|kabaluuta ~ kabaluota |пеленать|kapaloida|||||||||
|s.|kaban|kaban, -an, -ad|кабан|villisika, karju|||||||||
kabd’|s. mon.|kabd’ad|kabd’/ad, -uun, -uud|копыта|kaviot|||||||||
kabd’ad|s.|kabd’|kabd’, -an, -ad; -uun, -uud|копыто|kavio|||||||||
|s.|kabel’|kabel’, -an, -ad|кабель|kaapeli|||||||||
|s.|kabin|kabin, -an, -ad|кабина|ohjaamo|||||||||
|s.|kabinet|kabin’et, -an, -ad|кабинет|kabinetti|||||||||
kand|s.|kabluk|kabluk, -an, -ad; -uun, -uud|каблук|korko, kanta (jälkineen)|korktat kablukad|высокие каблуки|korkeat kannat||||||
|s.|kacahtuz|kacahtu/z, -sen, -st; -s’iin, -s’iid|взгляд|katse, katsaus, silmäys, vilkaisu|||||||||
|s.|kaccuj|kacuj, -an, -ad|зритель|katsoja|||||||||
|v. frekv.|kacelta|kac/el’ta, -l’ob, -cel’ ~ -l’ii; -el'taze, -el't'ihe|посматривать, высматривать, осматривать, заглядывать, подглядывать, взирать|katsella|||||||||
|v. frekv. refl.|kaceltakse|kac/el’takse, -l’eze, -l’iihe(ze) |озираться; переглядываться|katsella|||||||||
kanabr|s.|kadaj|kadag ~ kadog (IL) ~ kadai, -an ~ -en, kadakt ~ kadatt(u) (LMS 97)|можжевельник|kataja|kadaged (LMS 97) ~ kadagad|можжевельники|katajat||||||
kadajišt|s.|kadajik|kadagik, -on, -od; -uun, -uud|заросли можжевельника |katajikko|||||||||
|a.|kadajaine|kadagahi/in'e, -ižen, -št; -ižid  (LMS 97)|можжевеловый|katajainen|||||||||
|s. yhd.|käded-d’algad|käded/d’augad|конечности|raajat|||||||||
|s.|kadomine|kadomi/in’e, -ižen, -št; -ižiin, -ižiid|пропажа, утеря|katoaminen|||||||||
|s.|kadr|kadr, -an, -ad|кадр|kaaderi|kadrad|кадры|kaaderit||||||
|s.|kafe|kafe, -n, -d|кафе|kahvila|||||||||
|s.|kafedr|kafedr, -an, -ad|кафедра|katederi, oppituoli|||||||||
|s.|kafel’|kafel’, -an, -ad|кафель|kaakeli|||||||||
|s.|kafeterij|kafeter’ij, -an, -ad|кафетерий|kahvila|||||||||
|num.|kaheksa|kahesa, -n, -d|восемь|kahdeksan|meid’en kanal om kahesa kanampoigašt|у нашей курицы восемь цыплят|meidän kanalla on kahdeksan kananpoikaa||||||
|num. yhd.|kaheksakümment|kahesa/küment|восемьдесят|kahdeksankymmentä|||||||||
|num.|kaheksandž|kahesa/nd’ž, -nden, -t|восьмой; восьмушка, восьмая часть|kahdeksas; kahdeksas osa|d'älges kahesatt päiväd (ND) kirj.|после восьмого дня|kahdeksannen päivän jälkeen||||||
|num. yhd.|kahtendžtošt|kahte/nd’ž/tošt, -nden/tošt, -t/tošt|двенадцатый|kahdestoista|||||||||
|num. yhd.|kaheksatošt|kahesa/tošt|восемнадцать|kahdeksantoista|||||||||
|v.|kähišta|kähi/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|хрипеть|korista, köristä, röhistä|||||||||
|s.|kahižend|kahižend, -an, -ad|шорох|kahina, havina, rahina|||||||||
|s.|kähižend|kähižend, -an, -ad|хрипота|korina, körinä, röhinä|||||||||
|a.|kähižij|kähižij, -an, -ad|хриплый|koriseva, körisevä, röhisevä|||||||||
|s.|kahmal|kahmal|горсть, пригоршня|kahmalo, kourallinen|||||||||
kaks'|adv.|kahtei|kahtei|вдвоём, двое|kahden, kaksin|||||||||
|a. dem.|kaidaine|kaida/an’e, -ažen, -št; -ažiin, -ažiid|узенький|kapea|||||||||
|adv. komp.|kaidemb|kaidemb|уже|kapeampi|||||||||
|a. komp.|kaidemb|kaidemb, -an, -ad; -iin, -iid|более узкий|kapeampi|ombel’ta kaidembaks|ушить|ommella kapeammaksi||||||
|s. yhd.|kaidocc|kaid/occ|узколобый|kapeaotsainen|||||||||
kaikenmoine|pron.|kaik||||kaikehe luaduhe (IL)|на всякий лад, всячески|kaikin tavoin||||||
kaikkid|adv.|kaikked|kaiked|всего, в целом|kaikkiaan, yhteensä|s’iga ol’ii kaiket kaks’ klassad|там (в школе) было всего два класса|siinä (koulussa) oli kaikkiaan kaksi luokkaa||||||
kaikked|adv.|kaikkid|kaikiid|итого|kaikkiaan, yhteensä|||||||||
kaikiš|part. sup.|kaikkid|kaikiid|самый, всех|kaikkia|kaikiid uudemb|новейший|uusin||||||
|part. sup.|kaikkid||||kaikiit pahemb|самый плохой, худший|pahin||||||
kaikkijal|adv.|kaikkijale|kaikijal’e|везде (куда)|kaikkialle, joka paikkaan|l’ükta kaikijal’e|разбрасывать|heitellä kaikkialle||||||
|s.|kainal|kaimal, kaimlon, kaimalt|подмышка|kainalo|kaimlon al’l’e (IL)|под мышку|kainaloon||||||
|a.|kaivettu|kaivdu/d, -n, -d; -in, -id|вырытый; изрытый|kaivettu|||||||||
|s.|kajahtuz|kajahtu/z, -sen, -st; -s’iin, -s’iid|эхо, отзвук|kaiku|||||||||
zor'a|s.|kajo|kaj/o, -on, -od; -uun, -uud|зарево|kajastus, kajo, koite, koitto|||||||||
reun|s.|kajomk|kajomk, -an, -ad|каёмка|reunajuova|||||||||
|s.|kajut|kajut, -an, -ad|каюта|hytti|||||||||
|s.|kakav|kakao, -an, -ad|какао|kaakao|||||||||
|v.|kakettada|kake/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|кудахтать|kotkottaa|||||||||
|a. yhd.|kaks’kierdaine|kaks’/kierdaan’e|двойной|kahdenkertainen|||||||||
|num. yhd.|kaks’kümment|kaks’ ~ kaks/küment (LMS 102), kahten/kümn'en, kaht/küment|двадцать|kaksilymmentä|||||||||
|num. yhd.|kaks’sadad|kaks’/sadad|двести|kaksisataa|||||||||
kaksinaižed|s.|kaksinaine|kaks’ina/an’e ~ kaks’na/an’e (KTK), -ažen, -št|двойняшка, близнец|kaksonen, kaksoislapsi|||||||||
kaksinaine|s. mon.|kaksinaižed|kaks’inaaž/ed ~ kaks’naaž/ed (KTK), -iin, -iid|двойня, двойняшки, близнецы|kaksoset|||||||||
kaksinaižed|s. mon.|kaksižed|kaks’iiž/ed, -iin, -iid (IL)|двойня, двойняшки, близнецы|kaksoset|||||||||
|s.|kaldor|kal'idor ~ kal’dor (IL), -an, -ad; -uun, -uud |коридор|käytävä, koridori|||||||||
|s. yhd.|kalakuurnik|kala/kurn’ik (IL)|рыбник|kalakukko|||||||||
|s.|kalastaj|kalastaj, -an, -ad|рыбак|kalastaja|||||||||
|s.|kalbas|kalbas, -an, -ad|колбаса|makkara|||||||||
|s.|kalek|kal’ek, -an, -ad|калека|rampa|||||||||
|s.|kalendar’|kal’endar’|календарь|kalenteri|||||||||
|a. komp.|kallehemb|kal’hemb, -an, -ad; -iin, -iid|дороже|kalliimpi|||||||||
|adv.|kallehes(ti)|kal’hes|дорого|kalliilla, kalliisti|||||||||
|v.|kallištuda|kal’l’ištu/da, -b, -i; -taze, -t’ihe|дорожать, подорожать|kallistua|||||||||
piälik|s.|kamander|komand’ir, -an, -ad; -uun, -uud (KTK)|командир|päällikkö, komentaja|||||||||
|s.|kambal|kambala, -n, -d|камбала|kampela|||||||||
|s.|kambinašk|kambinašk, -an, -ad|комбинация (женское бельё)|alushame|||||||||
|s.|kamer|kamer, -an, -ad|камера|kamera; kammio, selli|||||||||
|s.|kamin|kamin, -an, -ad|камин|takka|||||||||
|s.|kämmen|käm/men’, -n'en, -ment; -n'iin, -n'iid|ладонь|kämmen|||||||||
kämmen|s. mon.|kämmened|käm/n'ed, -n'iin, -n'iid|ладони, ладоши|kämmenet|||||||||
|s.|kampanij|kampan’ij, -an, -ad|компания, общество|seurue|||||||||
|s.|kampot|kampot, -an, -ad|компот|hedelmäkeitto|||||||||
|s.|kanal|kanal, -an, -ad|канал|kanava|||||||||
|s.|kanalizacij|kanal’izacij, -an, -ad|канализация|viemäri|||||||||
|s. yhd.|kananpoig|kanam/poig|цыплёнок|kananpoika|||||||||
nuor|s.|kanat|kanat, -an, -ad|канат|köysi|||||||||
|s.|kanav|kanav, -an, -ad|канава|oja, laskuoja|||||||||
|s.|kancel’arij|kancel’ar’ij, -an, -ad|кунцелярия|kanslia|||||||||
|s.|kancler|kancl’er, -an, -ad|канцлер|kansleri|||||||||
|s.|kand I|kand, -an, -ad; -uun, -uud|пята, пятка; каблук|kanta, kantapää; korko|||||||||
|s. mon.|kandalad|kandal/ad, -uun, -uud|оковы|kahleet|||||||||
kandamuz, kandelmuz, takk|s.|kandamine|kandami/in’e, -ižen, -št; -ižiin, -ižiid|ноша|kantaminen, kantamus|||||||||
