a.	razvaine	razva/an’e, -ažen, -št	жирный				
s.	peitoižile	peituužiil’e	в жмурки (игра)				
s.	žongl'or	žongl'or	жонглёр				
s.	žrebij	žr’ebij	жребий				
v.	burišta	bur’išta	жужжать				
s.	žurnal	žurnal	журнал				
s.	žuri	žur’i	жюри				
s.	čurčetuz	čurčetuz	журчание				
v.	čurčettada	čurčetada	журчать				
postp.	tagana	tagana	за				
postp.	dälges	d’äl’ges	за				
postp.	puoles	puoles	за				
postp.	piäle	piäl’e	за		piäl’e viit vuot	за пять лет	
s.	kumm	kumm	забава				
a.	kummakaz	kummakaz	чудной, странный; смешной, забавный, потешный; удивительный				
s.	unohtuz	unohtuz	забывание; забвение				
s.	kodvaine	kodva/an’e, -ažen, -št	минутка		tulda kodvaažeks	забегать	
s.	zabastofk	zabastofk	забастовка				
s.	kohtustuda	kohtuštuda	забеременеть				
adv.	kerdale	kerdal'e	с собой	mukaan	otta kerdal’e	брать с собой, забирать	ottaa mukaan, hakea
v.	sidoda	s’idoda	забинтовать				
s. yhd.	torakukoi	tora/kukuu	забияка				
s.	riidač	r’iidač, -un, -ud	забияка				
adv.	aigahsai	aigaha/saa	заблаговременно				
v.	üöstüda	üöstuda	заблудиться				
v.	puskeda	pusta ~ (Pal) busta	бодать, забодать				
s.	huol’	huol’	забота				
v.	huolduda	huolduda	заботиться				
a.	huolikaz	huolekaz	заботливый				
v.	lükkida	l’ükta	забрасывать				
v.	unohtada	unohtada	забывать				
s.	mušt	mušt ~ mušto (IL)	память		paha mušto (IL)	плохая память	huono muisti
v.	zavarida	zavar’ida	заваривать				
s.	zavedenij	zaved’en’ij	заведение				
v.	tuoda	tuoda	завести				
v.	püörittada	püör’itada	вертеть		rubeta püör’itamaha	завертеть	
v.	loppida	lopta	завершать				
s.	toivotuz	toivotuz	завет				
s.	kudrid	kudr’id	кудри		s’iäta kudr’id	завить волосы	
v.	pidada	pidada	держать		miel’es pidada	любить	
s.	zavod	zavod	завод				
v.	zavodida	zavod’ida	заводить		čuasud zavod’ida	завести часы	
a.	huomellline	huomel’i/in’e, -ižen, -št	завтрашний				
v.	sidoda	s’idoda	завязывать				
v.	vajoda	vajuuda	завязнуть				
s.	arbatuz	arbatuz	загадка				
s.	päivituz	päivtuz	загар				
a.	päivittunu	päivtunu	загорелый				
a.	paštunu	paštunu	загорелый				
s.	zaglavij	zaglavij	заглавие				
v.	sambuttada	sambutada	загасить				
s.	puhetuz	puhetuz	заговор				
v.	paštuda	paštuda	загорать		rubeta paštumaha	начать загорать	
s.	kiändalmuz	kiändalmuz	загиб				
v.	kacelta	kacel’ta	заглядывать				
v.	redustada	redustada	загрязнить				
s.	mua	mua	страна		vieraz mua	заграница	
s. yhd.	tagapuol’	taga/puol’	зад				
s.	pera	pera	зад				
v.	küzelta	küz’el’ta	спрашивать, расспрашивать, запрашивать				
s.	maksand	maksand	плата				
s. yhd.	edelpiämaksand	edelpiä/maksand	задаток				
s.	zadač	zadač	задача				
s. yhd	tagaverai	taga/veraa	задворки, задний двор				
v.	koskettada	kosketada	задевать				
v.	pidada	pidada	задержать				
v.	tabata	tabata	задержать				
v. refl.	hätkestudakse	hät’kestudakse	задержаться				
s.	velg	velg	долг, задолженность, кредит				
adv.	selgin	s’el’giin	задом				
v.	nukahtuda	nukahtuda	задремать				
v.	särišta	s’är’išta	дрожать		rubeta s’är’ižmaha	задрожать	
v.	sambuttada	sambutada	задуть				
a.	südämelline	s’üdamel’i/in’e, -ižen, -št	сердечный, задушевный				
v.	duavida	duavda	задушить				
v.	žuarida	žuar’da	зажарить				
v.	sütüttada	s’üt’ütada	зажечь				
s.	zažigalk	zažigalk	зажигалка				
a.	bohat	bohat, -an, -ad	богатый, зажиточный				
v.	eläda	el’äda	жить		rubeta el’ämaha	начать жить, зажить	
v. refl.	zajikaidakse	zajikaadakse	заикаться				
v.	mändä	mända	идти		hüväks mända	зазнаваться	
v.	zaidida	zaita	зайти				
s.	zakaz	zakaz	заказ				
s. yhd.	mielespidettav	mieles/pidatab	зазноба				
pron.	iče	iče	сам		kucta iččen no	звать к себе	
v.	püštäda	püšta	заколоть, закалывать				
v.	leikata	l’eikata	закалывать				
v.	loppida	lopta	заканчивать				
v.	peittada	peitta	скрыть		peitta muaha	закапывать	
s. yhd.	päivänlaskend	päivän/laskund (IL)	закат				
s.	muigoituz	(Pal) muigotuz	закваска				
v.	hapata	hapata	закисать				
v.	muigeta	muigota	закисать				
v.	kiehuda	kiehta	кипеть				
s.	kihl	kihl	заклад		išta kihl	биться об заклад, держать пари	
v.	kleida	kl’eida	клеить, заклеивать				
s.	zaklatk	zaklatk	закладка				
a.	dälgimaine	d’äl’mään’e	заключительный				
s.	zakon	zakon	закон		zakonan projekt	законопроект	
a.	nogehine	nogehi/in’e, -ižen, -št	закоптелый				
a.	d’uurdunu	d’uurdunu	закоренелый				
a.	piästänu	piäsnu	пустивший		piäsnu d’uured	пустивший корни, укоренившийся	
v.	heikkada	heikta	кричать		rubeta heikmaha	закричать	
s.	viilij	viil'ij	закройщик				
s.	purn	purno (IL)	закром				
v.	salbata	saubata	закрывать				
v.	ostada	osta	закупать				
s.	ostand	ostand	закупка				
v.	haukaita	haukaata	закусить				
v.	kattada	katta	закутать				
a.	türömšik	t’üromšik	заключёный				
s.	projekt	projekt	проект				
v.	diädüda	d’iäduda	заледенеть				
v.	valelta	val’el’ta	заливать				
adv.	kieral	kierdal	залпом		d’uoda kierdal	выпить залпом	
v.	voidelta	voidel’ta	замазывать				
v.	redustada	redustada	замарать				
v.	hilleta	hil’l’eta	замедлить				
adv.	hüvin	hüviin	хорошо		ül’en hüviin	очень хорошо, замечательно, прекрасно	
a.	segonnu(ze)	s'eguunuze	замешанный				
s.	vajehtuz	vajehtuz	замена				
v.	vajehtada	vajehtada	заменить				
v.	hätkestuda	hät’kestuda	замешкаться				
v.	nägištuda	n’ägištuda	заметить				
a.	vähäsanaine	väha/sanaan’e	замкнутый				
s.	lukk	lukk	замок		uksen lukk	дверной замок	
v.	vaikastuda	vaikastuda	замолчать				
v.	kuoletoittada	kuol’etuutta	заморить		n’äl’gaha kuol’etuutta	заморить голодом	
s.	hall	hall, -an, -ad	заморозок		hallad	заморозки	
v.	kastada	kasta	замочить				
v.	ligottada	l’igotada	замочить				
adv.	miehele	miehel’e	замуж	naimisiin (naisesta)	mända miehel’e	выйти замуж	mennä naimisiin (naisesta)
adv.	miehel	miehel	замужем	naimisissa (naisesta)			
v.	lukuttada	lukutada	замыкать				
v.	duumaida	duumaada	замышлять				
s.	zamš	zamš	замш				
adv.	pahoin 	pahuun 	плохо		voida pahuun	плохо себя чувствовать	
s.	puik	puik, -on, -od	щепка; заноза				
v.	üödüda	üöduda	заночевать				
v.	kibištada	kibištada	вызывать боль		rubez’ kibištamaha	заныло	
s.	ruad	ruad	занятие				
a. yhd.	pilventagalline	pil’ven/tagal’iin’e	заоблачный				
a. yhd.	därventagalline	d’ärven/tagal’iin’e	заозёрный				
a.	terendattu	t’er’endatud	заостренный				
v.	terendoittada	t’er’enduutta	заострить				
s. yhd.	päivlaskend	päiv/laskund (IL)	запад				
s.	müöhästuz	müöhästuz	опоздание				
s.	vara	vara	запас				
s.	duuh	duuh	запах				
v.	redustada	redustada	запачкать				
v.	paštada	pašta	запекать				
v.	salbata	saubata	затворять				
adv.	piäle	piäl’e	сверху		d’uoda piäl’e	запивать	
v.	kird’uttada	kir’itada	записать				
s.	zapisk	zapisk	записка				
s.	kird’utand	kir’itand	запись				
v.	itkeda	it’ta	плакать		rubeta it’maha	заплакать	
s.	paik	paik	заплата				
s.	maksatuz	maksatuz	плата				
s.	homehtuz	homehtuz	плесневелость				
v.	plettida	pl’et’ta	заплести, плести				
v. refl.	plettidakse	pl’et’takse	заплетаться, плестись				
a.	müöhästunu	müöhästunu	запоздалый				
v.	müöhästuda	müöhästuda	запоздать				
v.	täüttäda	t’äitta	заполнить				
v.	muštoittada	muštuutada	запомнить				
s.	zaočnik	zaočn’ik	заочник				
s. yhd.	üksinpajattaj	üks’iin/pajataj	солист, запевала				
s.	zapovednik	zapovedn’ik	заповедник				
s.	zaponk	zaponk	запонка				
s.	tugi	tugi	запор		tugi uksehe	запор к двери	
s.	vacc	vacc	живот		kova vacc	запор (живота)	
v.	peittada	peitta	скрыть		lumel peitta	запорошить	
s.	kielduz	kiel’duz	запрет				
s.	küzünd	küz’ünd	запрос				
v.	vall’astada	val’l’astada	запрягать				
v.	pölgättada	pel’gätada	запугать				
v.	selgittada	s’el’gitada	распутать				
adv.	edelpiä	edelpiä	заранее				
s.	kajo	kajo	зарево				
v.	leikata	l’eikata	зарезать				
postp.	tagana	tagana	за		d’ogen tagana	за рекой	
s.	ruostunduz	ruostunduz	ржавение				
s.	maksand	maksand	зарплата				
v.	panda	panda	положить		panda muaha	хоронить; зарывать	
s.	zor’a	zor’a	зоря		rusked zor’a	красная зоря	
s. yhd.	huondezzor’a	huomez/zor’a	утренняя зоря				
s. yhd.	ehtzor’a	eht/zor’a	вечерняя зоря				
v.	ištuttada	ištutada	засадить				
v.	panda	panda	положить		panda el’ämaha	заселить	
v.	ištuda	išta	сидеть		išta hät’k	засидеться	
s.	tie	t’ie	путь		olda t’iel	быть на пути, заслонить	
s. yhd.	päččlaud	päčč/laud	заслонка				
adv.	edes	edes	впереди		olda edes	быть впереди, заслонять	
v.	kuundelta	kuundel’ta	заслушать				
s.	nagr	nagr	смех; посмешище		pidada nagron	высмеивать	
v.	uinota	uinota	заснуть, засыпать				
s.	zalošk	zalošk	засов				
v.	panda	panda	засовывать				
v.	tungeda	tunkta	засовывать				
v.	suolata	suolata	засолить				
v.	kuivattada	kuivatada	засушить				
a.	kuivanu	kuivnu	засохший				
a.	uneksine	uines’i/in’e, -ižen, -št (IL)	заспанный				
v.	zastavida	zastavida	заставить				
a.	vanhennu	vanhenu	застарелый				
s.	zaslug	zaslug	заслуга				
s.	zaslužind	zaslužind	заслуга				
s.	nübl’	n’übl’	пуговица		panda n'übl’ad	застёгивать	
s.	zast’ošk	zast’ošk	застёжка				
s.	stökkol	st’okkol	стекло		panda st’oklad	застеклить	
v.	ambuda	ampta	застрелить				
v.	külmättada	kül’mätada	застудить				
v.	puolištada	puol’ištada	заступаться				
s.	kuivatuz	kuivatuz	засуха				
s.	hiam	hiam ~ hiäm (IL)	рукав		(Pal) kiäta hiämad	засучить рукава	
a.	kuiv	kuiv	засушливый				
v.	ribaidoittada	ribaaduutta	засыпать				
v.	peittada	peitta	затаить				
adv.	vägel	vägel	силой		tuoda vägel	затащить	
v.	koveta	koveta	затвердеть				
v.	salbata	saubata	затворять				
adv.	dälges	d’äl’ges	затем				
v.	hilleta	hil’l’eta	затихать				
v.	tungeda	tunkta	затолкать				
v.	uppoda	uppoda	затонуть				
v.	lämbittada	l’ämmitada	затопить				
v.	polgeda	poukta	затоптать				
v.	koskettada	kosketada	затронуть				
v.	dügenzoittada	d’ugenzuutta	затруднить				
s.	nišk	n’išk	затылок				
s.	tagaraiv	(Akv, Pal) tagar’i/in’e, -ižen, -št ~ (Syrj) tagaruin’e	затылок				
s.	propk	propk	затычка				
v.	opastuda	opastuda	заучивать				
adv.	harvas	harvas	редко		kävüda harvas	захаживать	
v. refl.	lökästadakse	l’ökästadakse	захлебнуться				
s.	laskuz	laskuz (IL) ~ laskoz (IL)	заход		(Pal) päivääžen laskuz ~ laskoz	заход солнца	
adv.	puaksuižesti	puaksuužest’i	зачатую				
part.	mikš	mikš	зачем				
v.	amuldaita	amuldaata	зачерпнуть				
v.	muurehtuda	muurehtuda ~ murehtuda (IL)	черстветь, зачерстветь				
s.	zavodij	zavod’ij	зачинщик				
adv.	ühteh	ühthe ~ (Pal) ühtehe ~ (Pal) ihtehe	вместе		(Pal) otta ihtehe	зачислить	
v.	zajavida	zajavida	заявить				
s.	zajafk	zajafk	заявка				
s.	zajavlenij	zajavl’en’ij	заявление				
s.	dänöi	d’än’uu	заяц				
s.	nimi	n’imi	звание				
a.	kucuttu	kuctud	званный				
v.	kuccuda	kucta	звать				
s.	tiäht’	t’iäht’	звезда				
s. dem.	tiähtine	t’iäht’i/in’e, -ižen, -št	звездочка				
a.	tiähtikaz	t’iähtekaz	звёздный				
v.	helišta	hel’išta	звенеть				
s.	zvier’	zvier’	зверь				
s.	kelloine	kell/uun’e, -uužen, -ošt	звонок				
s.	iän’	iän’	звук				
s.	kodi	kod’i	здание				
s.	huonuz	huonuz	здание				
adv.	täste	t’äst	здесь				
a.	tägälaine	t’ägala/an’e, -ažen, -št	здешний				
adv.	äijäl	äjäl	здорово				
a.	terveh	t’erveh	здоровый, здравый		olda t’ervhen	здравствовать	
s.	kida	kida	зев				
v. refl.	haikosteltakse	haikostel’dakse	зевать				
v. refl.	haikostudakse	haikostudakse	зевнуть				
s.	haikostuz	haikostuz	зевота				
	ervheks	t’ervheks	здравствуйте				
v.	vihanduda	vihanduda	зеленеть				
a.	vihand	vihand	зелёный				
s. yhd.	muan/ruadaj	muan/ruadaj	земледелец				
a.	muahine	muahi/in’e, -ižen, -št	земляной				
s. yhd.	muanträsind	muan/tr’as’ind	землетрясение				
s. yhd.	kesktaivaz	kesk/taivaz	зенит				
s.	zirkol	zirkol	зеркало				
s.	düvä	d’üvä	зерно				
s.	talv	tauv	зима				
s.	talv-	tauv-	зимний				
s.	viha	viha	злоба, злость				
adv.	naroko	naroko	назло				
s.	pahuz	pahuz	зло				
v.	suututtada	suututada	злить				
a.	vihaine	vihaan'e	злой		olda vihaažen	злобствовать	
s.	kehn	kehn	злодей				
a.	vihaž	vihaž	злой				
a. yhd.	pahaluaduine	(Pal) paha/luaduun’e	злокачественный				
a. yhd.	vihanpidaj	vihan/pidaj	злопамятный				
s.	mado	mado	змея				
a.	tuttav	tuttab	знакомый				
a.	kuuluž	kuuluž	знаменитый				
s.	tiend	t’iend	знание				
s.	tiedaj	t’iedaj	знаток				
v.	tieta	t’ieta	знать				
a.	suur’	suur’	значительный				
a.	tiedaj	t’iedaj	знающий				
s.	kubu	kubu	зоб				
s.	kucund	kucund	зов				
s.	tuhk	tuhk	зола				
s.	znamä	znam’a	знамя				
s.	značk	značk	значок				
a. yhd.	kuldankarvaine	kuldan/karvaan’e	золотистый				
s.	kuld	kuld	золото				
a.	kuldaine	kulda/an’e, -ažen, -št	золотой				
s.	zolotuh	zolotuh	золотуха				
s. yhd.	tuhkpeza	tuhk/peza	зольник				
s.	zoon	zona	зона				
s.	zont	zont	зонт				
s.	zontik	zont’ik	зонтик				
s.	zoolog	zoolog	зоолог				
s.	zoopark	zoo/park	зоопарк				
s.	zootehnikoi	zoo/t’ehn’ik	зоотехник				
s.	nägünd	n’ägund	зрение				
v.	küpseta	küpseta	зреть				
s.	kaccuj	kacuj	зритель				
adv.	sudre	sudro	зря				
s.	hambaz	hambaz	зуб				
s. dem.	aldoine	ald/uun’e, -uužen, -ošt	маленькая волна	pieni aalto	hubad alduužed	маленькие волны, зыбь	pienet aallot
s. yhd.	sügüzkündand	s’ügüz’/kündand ~ (Pal) s’ügiz’/kindand	осенняя пахота				
s.	zuud	zuud	зуд				
s.	vävü	vävü ~ (Pal) vävi	зять				
s.	raid	raid	ива				
a.	raidaine	raida/an’e, -ažen, -št	ивовый				
s.	niegl	n’iegl	игла				
s. dem.	nieglaine	n’iegla/an’e, -ažen, -št	иголочка				
s.	viänd	viänd	игра				
s.	bobaine	boba/an’e, -ažen, -št	игрушка				
v.	mändä	mända	идти				
postp.	piä	piä	из				
s.	pert’	pert’	изба				
s.	piästäj	piästaj	избавитель				
s.	piäständ	piästand	избавление				
s.	piästünd	piästund	избавление				
v.	piästä	piästa	избавляться				
v.	pageta	pageta	избегать				
s.	pergand	pergand	избиение				
v.	valita	val’ita	избирать				
s.	pertiine	pert’i/in’e, -ižen, -št	избушка				
v.	oppida	opta	изведать				
s.	viest’	viest’	известие		anta viest’	известить	
s.	tied	t’iedo (IL)	известие, извещение				
a.	tiettav	t’iettab	известный				
s.	idijal	id’eal	идеал				
a.	ideinij	id’einij	идейный				
s.	idij	id’eja	идея				
s.	iždivenč	ižd’ivenč	иждивенец				
adv.	liigan	l’iigan	слишком, чересчур		l’iigan äi	слишком много	
s.	izveržen’ij	izveržen’ij	извержение				
s.	prostind	prost’ind	прощение		pakita prost’indad	просить прощения	
v.	prostida	pros’ta	извинить				
adv.	irdalpiä	irdalpiä	извне				
s.	izvoššik	izvoššik	извозчик				
adv.	irale	iral’e	долой		ajada irdal’e	изгнать	
s. yhd.	piänpuol’	piäm/puol’	изголовье				
v.	valmištada	vaumištada	изготовить				
a.	amuine	am/uin’e, -uižen, -ušt	давний		amuižes ~ (Pal) amuužes aigas	с давних времен	
adv.	edahanpiä	edahampiä	издалека				
v.	nagrada	nagrda	издеваться				
v.	kuolda	kuolda	издыхать				
s.	poltand	poutand	изжога				
a.	külmänu	kül’mnu	озябший				
v.	kumaita	kumaata	изливать				
s.	liig	liig	излишек				
s.	katkelmuz	katkelmuz	излом, трещина				
v.	katkaita	katkaata	изломать				
s.	hienondamine	hienondami/in’e, -ižen, -št	измельчание				
s.	izmennik	izmen’n’ik	изменник				
v.	miärita	miär’ita	измерить				
a.	viäzütettu	viäzutetud	изможденный				
a.	viäzünu	viäznu	измученный				
a.	murdinaine	murna/an’e, -ažen, -št	изнаночный				
v.	kuluttada	kulutada	трепать		äjäl kulutada	изнашивать	
adv.	südämespiä	s’üdämes/piä	изнутри				
a.	rebiteltu	rebitel'dud	изорванный				
postp.	alpiä	alpiä	из-под				
v.	pidada	pidada	израсходовать				
adv.	harvaižes	harvaažes	изредка				
v.	leikata	l'eikata	рубить, кромсать		l’eikata palaažiil’e	рубить на кусочки, искромсать	
a.	kaivettu	kaivdud	изрытый				
adv.	äijäl	äjäl	изрядно				
a.	äij	äi	много		ül’en äi	очень много, в изобилии	
s.	izumrud	izumrud	изумруд				
s.	iz’um	iz’um	изюм				
s.	ikon	ikon	икона				
s. dem.	obrazaine	obraza/an’e, -ažen, -št	икона				
s.	ikr	ikr	икра				
s.	ikrad	ikrad	икры				
s.	muda	muda	ил				
part.	vai	vaa	или				
a.	mudahine	mudahi/in’e, -ižen, -št	илистый				
s.	ill’uzij	il’l’uz’ij	иллюзия				
s.	ill’uminator	il’l’uminator	иллюминатор				
s. yhd.	nimipäiv	n’im/päiv	именины				
s. yhd.	nimipäivnik	n’im/päivn’ik	именинник				
a.	nimikaz	n’imikaz	именный				
v.	nimittada	n’imitada	именовать				
s.	nimi	n’imi	имя				
s.	imigrant	imigrant	имигрант				
s.	emigracij	emigracij	иммиграция				
s.	imperator	imperator	император				
s.	imperializm	imperial’izm	империализм				
s.	imperij	imper’ij	империя				
s.	import	import	импорт				
s.	improvizacij	improvizacij	импровизация				
adv.	toižin	toižiin	иначе				
s.	invalid	inval’id	инвалид				
s.	inventar’	inventar’	инвентарь				
s.	indeič	ind’eic	инеец				
s.	indeik	ind’eik	индейка				
adv.	indiiskij	ind’iiskij	индийский				
s.	ind’uk	ind’uk	индюк				
s.	huude	huude	иней				
s.	inžiner	inžen’er	инженер				
s.	instrukcij	instrukcija	инструкйия				
s.	inkubator	inkubator	инкубатор				
adv.	erasti	erast’i	иногда				
pron.	toine	toin’e	иной				
s.	inostranč	inostranc	иностранец				
s.	instrument	instrument	инструмент				
s.	inspektor	inspektor	инспектор				
s.	instinkt	inst’inkt	инстинкт				
s.	institut	inst’itut	институт				
s.	instruktaž	instruktaž	инструктаж				
s.	istruktor	istruktor	инструктор				
s.	inscenirofk	inscen’irofk	инсценировка				
s.	intellekt	int’el’l’ekt	интеллект				
s.	intelligent	int’el’l’igent	интеллигент				
s.	keskuč	keskuč	интервал				
s.	intervencij	intervencij	интервенция				
s.	intervidenij	intervid’en’ie	интервидение				
s.	intervju	intervju	интервью				
s.	vessel’	ves’s’el’	интересный				
s.	internat	internat	интернат				
s.	internacional	internacional	интернационал				
s.	interjer	interjer	интерьер				
s.	intonacij	intonacij	интонация				
s.	tarttuj	tartuj	инфекционный				
s.	tartund	tartund	инфекция				
s.	infl’acij	infl’acij	инфляция				
s.	incident	incid’ent	инцидент				
s.	injekcij	injekcij	инъекция				
s.	ironij	iron’ij	ирония				
s.	nagrand	nagrand	ирония				
v.	nagrada	nagrda	иронизировать				
s.	ečind	ečind	иск				
v.	eččida	ečta	искать				
s.	kibin	kibin	искра				
adv.	viärin	viär’iin	искоса				
v.	viärištada	viär’ištada	искривить				
v.	külböittada	(Pal) kül’büütada	искупать				
a.	malttaj	mautaj	умелый, искусный				
v. refl.	redustadakse	redustadakse	испачкаться				
v.	paštada	pašta	испечь				
v.	kird’uttada	kir’itada	исписать				
adv.	läbi	l’äbi	сквозь		l’äbi kuumiiš	исподлобья	
adv.	peitoiči	peituuči	исподтишка				
adv.	amu	amu	давно		ül’en amu	очень давно	
v.	pidada	pidada	использовать				
v.	sporttida	spor’ta	испортить				
v.	pareta	pareta	исправиться, исцелиться				
s.	pölgätuz	pel’gätuz	испуг				
v.	pölgästuda	pel’gästuda	испугаться				
v.	oppida	opta	испытать				
a.	hiiroitettu	hiiruutetud	истёртый				
s.	tozi	toz’i	истина				
s.	ladv	ladv	верхушка; верховье		d’ogen ladv	верховье реки	
v.	viäzüttada	viäzutada	истомить				
v.	lämbittada	l’ämmitada	истопить				
v.	laihtuda	laihtuda	истощаться				
a.	laihtunu	laihtunu	истощённый, исхудалый				
v.	pidada	pidada	истратить				
v.	hajota	häeta	исчезать				
v.	amulta	amulta	черпать, исчерпать				
adv.	kaikkid	kaikiid	итого				
s.	istorik	istor’ik	историк				
s.	lähte	l’ähte	источник				
s. yhd.	ijun’kuu	ijun’/kuu	июнь				
s. yhd.	ijul’kuu	ijul’/kuu	июль				
s.	kaban	kaban	кабан				
s.	kabel’	kabel’	кабель				
s.	kabin	kabin	кабина				
s.	kabinet	kabin’et	кабинет				
s.	kand	kand	каблук				
s.	kabluk	kabluk	каблук				
s.	taigin	taigin, -an, -t	кадка, квашня (посудина для теста)				
s.	kajomk	kajomk	каёмка				
a. yhd.	d’ogapäivälline	d’oga/päiväl’iin’e	каждодневный				
a. 	d’ogahine	d’ogahi/in’e, -ižen, -št	каждый				
s.	kavalerij	kaval’er’ij	кавалерия				
s.	kavičkad	kavičkad	кавычки				
s.	kadr	kadr, -an, -ad	кадр		kadrad	кадры	
s.	kazak	kazak, -an, -ad	наёмный работник, батрак	palkkalainen, batrakki, renki			
s.	kazak	kazak, -an, -ad	казак	kasakka			
s.	kazačih	kazačih, -an, -ad	казачка	kasakkanainen			
s.	kazačih	kazačih, -an, -ad	наёмная работница, батрачка	palkkalainen, batrakki, piika			
v. refl.	ozuttadakse	oz'itadakse	казаться				
part.	kut	kutt	как		kutt tahtuud	как хочешь	miten haluat
s.	kakao	kakao	какао				
pron.	mitte	mitte	какой				
s.	kalek	kal’ek	калека				
s.	kalendar’	kal’endar’	календарь				
s.	piha	piha	двор				
s.	kambala	kambala	камбала				
a.	kivikaz	kivikaz	каменистый				
a.	kivehine	kivehi/in’e, -ižen, -št	каменный				
s.	kivi	kivi	камень				
s.	kivut	kivütt	камешек				
s.	kamer	kamer	камера				
s.	kamin	kamin	камин				
s.	kampanij	kampan’ij	компания				
s.	kanav	kanav	канава				
s.	kanal	kanal	канал				
s.	kanat	kanat	канат				
s.	kanalizacij	kanal’izacij	канализация				
s.	kandidat	kand’idat	кандидат				
s.	kanikulad	kan’ikulad	каникулы				
s.	kancel’arij	kancel’ar’ij	кунцелярия				
s.	kancler	kancl’er	канцлер				
v.	upota	upota (IL)	кануть				
v.	tippuda	t’ipta	капать				
s.	kapital	kapital	капитал				
s.	kapitan	kapitan	капитан				
s.	kapl’	kapl’	капля				
s.	kapot	kapot	капот				
v.	tipaškoittada	t’ipaškuutta	капнуть				
s.	kapriz	kapr’iz	каприз				
s.	kapust	kapust	капуста				
s.	karakul’	karakul’	каракуль				
s.	karamel’	karamel’	карамель				
s.	karandiš	karandiš, -an, -ad	карандаш				
s.	karantin	karant’in	карантин				
v.	nakažida	nakažida	карать				
s.	karbürator	karb’urator	карбюратор				
s.	karekatur	karekatur	карикатура				
s.	kruakkuda	kruakta	каркать				
s.	korman	korman	карман				
s.	karnaval	karnaval	карнавал				
s.	kart	kart	карта				
s.	kartin	kart’in	картина				
s.	karting	kart’ing	картинг				
s.	karton	karton	картон				
s.	kartotek	kartot’ek	картотека				
s.	kartofk	kartofk	картофель				
s.	kartočk	kartočk	карточка				
s.	karusel’	karus’el’	карусель				
s.	karjer	karjer	карьер				
v. refl.	koskettadakse	kosketadakse	касаться				
s.	kask	kask	каска				
s.	kass	kass	касса				
s.	kaset	kas’et	касета				
s.	kassir	kas’s’ir	кассир				
s.	kostr’ul’	kostr’ul’	кастрюля				
s.	katalog	katalog	каталог				
s.	katamaran	katamaran	катамаран				
s.	ajelend	ajel’end	катание				
s.	katar	katar	катар				
s.	katastrof	katastrof	катастрофа				
s.	kategorij	kat’egor’ij	категория				
s.	kater	kat’er	катер				
s.	katušk	katušk	катушка				
s.	kaučuk	kaučuk	каучук				
s.	kafe	kafe	кафе				
s.	kafedr	kafedr	кафедра				
s.	kafel’	kafel’	кафель				
s.	kafeterij	kafeter’ij	кафетерий				
s.	l’iikuttada	l’iikutada	качать				
s.	kuaš	kuaš	каша				
s.	keittaj	keitaj	повар, кухарка				
s.	rügimine	r’ügimi/in’e, -ižen, -št	кашель				
v.	rügida	r'ügi/da, -b, -i	кашлять				
s.	kašne	kašne	кашне				
s.	kašpo	kašpo	кашпо				
s.	kajut	kajut	каюта				
a. yhd.	nell’čuppuhine	n’el’/čuppuhiin’e	квадратный				
s.	kvalifikacij	kval’ifikacij	квалификация				
s.	kvartal	kvartal	квартал				
s.	kvartet	kvart’et	квартет				
s.	kvartir	kvart’ir	квартира				
s.	vuas	vuas	квас				
s.	kvitancij	kvitancij	квитанция				
s.	keglid	kegl’id	кегли				
s.	kedad	kedad	кеды				
s.	keks	keks	кекс				
s.	kepk	kepk	кепка				
s.	keramik	keramik	керамика				
s.	karasin	karas’in	керосин				
v.	lükkida	l’ükta	кидать				
s.	kilo	kilo	кило				
s.	kilometr	kilometr	километр				
s.	kinžal	kinžal	кинжал				
s.	kino	kino	кино				
s.	artist	art’ist	актриса				
s.	kiosk	kiosk	киоск				
s.	kogo	kogo	кипа				
s.	tukk	tukk	кипа				
s.	kiehumine	kiehmi/in’e, -ižen, -št	кипение				
s.	kiehund	kiehund	кипение				
v.	kiehuttada	kiehutada	кипятить		kiehutetud vez’i	кипячёная вода, кипяток	
s.	kiisel’	kiis’el’	кисель				
a.	muiged	muiged	кмслый				
v.	hapattada	hapatada	давать киснуть				
s.	kirpič	kirpič	кирпич				
s.	kislorod	kislorod	кислород				
s.	kistočk	kistočk	кисточка				
s.	klavišid	klavišid	клавишы				
v. refl.	kumardeltakse	kumardel’dakse	кланяться				
s.	klapan	klapan	клапан				
s.	klass	klass	класс				
s.	klever	kl’ever	клевер				
s.	klejonk	kl’ejonk	клеёнка				
v.	kleida	kl’eida	клеить				
s.	kleja	kl’eja	клей				
s.	kleim	kl’eim	клеймо				
s.	klöna	kl’ona	клён				
s.	koda	koda	клетка				
s.	ait	ait, -an, -ad	амбар, клеть				
s. yhd.	niärituznimi	n’iär’ituz/n’imi	кличка				
s.	klient	kl’ient	клиент				
s.	klipsad	kl’ipsad	клипсы				
s.	kloun	kloun	клоун				
s.	kluba	kluba	клуб				
s.	ludeg	ludeg	клоп				
s.	kera	kera	клубок				
s.	n’uok	n’uok	клюв				
s.	klumb	klumb	клумба				
s.	garbal	zgarbol	клюква				
v.	n’uokaita	n’uokaata	клюнуть				
s.	rodnik	rodn’ik	ключ				
s.	klüšk	kl’ušk	клюшка				
