Synonyymit|Määrittely|kirjalyydi|Murremuoto|Venäjännös|Suomennos|1. esim.|1. esim:n venäjännös|1. esim:n suomennos|2. esim.|2. esim:n venäjännös|2. esim:n suomennos
kihl|s. mon.|kihlad|kihl/ad, -oid|пари|veto|(Ks) panemme kihlois|заключим пари|lyömme vetoa|||
|s.|kipitk|kipitk, -än, -äd; -köid|навес, чехол, верх (повоздки)|kuomu||||||
kipsahteltakse|v. frekv.|kipsahtelta|kipsahte/lda, -len, -l'in|дрожать (от страха)|vavahdella (säikähdyksestä)||||||
kipsahtelta|v. frekv. refl.|kipsahteltakse|kipsahte/lzetta, -lzen, -l'iime; -lzou; -lzettau|дрожать (от страха)|vavahdella (säikähdyksestä)||||||
|v.|kipsahtada|kipsah/tada, -tan, -t'in; -tau; -tet't'ii|вздрогнуть (от страха), поскочть|vavahtaa (säikähdyksestä), hypähtää||||||
sorta|v.|kirbottada|kirbo/ttada, -tan, -t'in|ронять, уронить|pudottaa, päästää putoamaan, pudottaa vahingossa|(N) kalan kirbot't'id lähtegei|рыбу ты уронил в прорубь|kalan pudotit avantoon|||
|a.|kird'av|kird'a/u, -van, -vad; -voiden, -void|пёстрый|kirjava||||||
ass; kird'ad|s.|kird'|kird', -an, -ad; -oiden, -oid|узор, вышивка, рисунок, фигура; буква, книга, грамота|ompelukoriste, kudontakoriste, koristepiirros (puuesineissä); kirjain, sanat ja kirjaimet||||||
|v.|kird'uttada|kirju/ttada, -tan, -t'in; -t'ettau|писать|kirjoittaa||||||
|v.|kird'utoittada|(B) kirjutoi/ttada, -ttau|просить написать|kirjoituttaa, antaa kirjoittaa|(B) žen'ihon iža mäneu pappii edelpiäi, kirjutoittau obuskad ven'čaites|отец жениха идёт к священнику заранее, просит написать отпуск для венчания|sulhasen isä menee papin luo edeltäpäin, kirjoituttaa esteettömyystodistuksen vihkimistä varten|||
čakata, haukkuda, koirastada|v.|kirota|kiro/ta, -dan,  -žin; -tau,-t't'ii|ругать, лаять, бранить|haukkua, torua, moittia, sättiä||||||
|a.|kirpiččähine|kirpiččähi/n'e, -žen, -št; -židen, -žid|кирпичный|tiilinen||||||
|s.|kirpič|kirpi/čč ~ -č, -čän, -ččäd; -čöid|кирпич|tiili||||||
|s.|kirz|kirž, -an, -ad|мерзлота|kirsi (maassa), routa||||||
langeta, pakkuda, sorduda|v.|kirbota|kirbo/ta, -nen, -n'in; -nou, -n' ~ -ž|падать, упасть, выпадать,вываливаться, отпадать, отваливаться|kirvota, irrota, pudota||||||
heikkada, ringuda, rängüda, röngüda, vonguda|v.|kirguda|kirgu/da, -n, -in; -t't'ii|кричать, орать|kirkua, huutaa||||||
cerkov|s.|kirik|(N) kirk(k)o||||||||
čondžoi, blohh|s.|kirp|kir/pp, -pun, -ppud; -puid|блоха|kirppu||||||
kirp, blohh; süötöi; variž|s.|čondžoi|(B, Pl, Td) čond'ž/oi ~ -uoi, -oin, -oid; -oloid|блоха|kirppu; korppi (Td); syötti (ongessa, V), onkimato||||||
|s.|kirvez|kirve/z ~ (N) -s, -hen, -st; -hid ~ (Ks, Kn) -hiid|топор|kirves||||||
kičkodelta|v. frekv. refl.|kičkodeltakse|kičkodelzetta|потягиваться|kiskotella|ela kičkodelze!|не потягивайся!|älä kiskottele!|||
|v. yksip. |kičkotoittada|kičkotoi/ttada, -ttau, -t't'i|хотеться потянуться|kiskotuttaa, venytyttää||||||
päčč|s.|kiudug|(Ks) kiudug, -as|каменка|kiuas||||||
|s.|kiur|kiur, -un, -ud; -uid|жаворонок|kiuru, leivonen||||||
kiur|s. dem.|kiuroi|(B) kiuroi, -n, -d|жаворонок|kiuru, leivo||||||
|v.|kiuruta|kiuru/ta, -dan|петь как жаворонок|livertää, laulaa leivon lailla||||||
|s.|kivez|kive/z, -ksen, -st; -kšid|грузило|kives (verkossa)||||||
kiviludžu|s. yhd.|kivuludžu|(Td, Sg) kivu/lud'ž|подкаменщик|kivikala, kivennuoliainen||||||
kivilučč|s. yhd.|kiviludžu|kivi/lud'žu, -lud'žun, -lud'žud; -lud'žuid|подкаменщик|kivikala, kivennuoliainen||||||
kiviludžu|s. yhd.|kivilučč|(B, Pk) kivi/luč(č)  ~ (N) -lučču ~ (N) -ručču, (B, Pk) -lučun, -luččud|подкаменщик|kivikala, kivennuoliainen||||||
kivilučč|s. yhd.|kivulučč|(Td) kivu/luč  ~ -lučč(u)|подкаменщик|kivikala, kivennuoliainen||||||
kivilučč|s. yhd.|kivulučak|(Td) kivu/lučak|подкаменщик|kivikala, kivennuoliainen||||||
|s. yhd.|kivilaud|kivi/laud|основание жернова|lauta käsikivien alla||||||
kivilaud|s. yhd. dem.|kivilaudaine|kivi/laudain'e|основание жернова|lauta käsikivien alla||||||
übüz|s.|kiboz|kivo/s ~ (B) -z ~ (N) kiboz, -ksen, -st; -kšid|сугроб|kinos||||||
käbr, pull|s.|käbrik|kiäbri/kk ~ (Td) käbri/k(k), -kön, -kköd; -köid|поплавок (для сети)|käpry, tuohikäpry, tuohikoho (verkossa)||||||
käbrik; käbü|s.|käbr|käbr ~ (B, Pl) kiäbr/(ü), -ün, -üd; -üid; (Kn) kiäbr, -un, -ud; -uid|шишка (дерева); поплавок (для сети)|käpy; tuohikoho (verkossa)|(Pl) kanain'e on veres kiäbr |"""курочка"" - это свежая шишка"|kananen on tuore käpy|||
käbrik|s.|käbrüz|(Td) käbrü/z, -ksen|поплавок (для сети)|tuohikoho (verkossa)||||||
|s.|kiäg|(B, Td: Pk) kiäg, -än, -äd; -öid ~ (Pk) -uoid|ручка (дверная)|ovenripa, kädensija (oven)||||||
kiäminkoda|s. yhd.|kiämkoda|kiäm/koda|скальница (для наматывания ниток)|käämikota, käämikela, käämintekolaite|kiämkodal kiämütettäu langad kiämükš|скальницей наматывают нитки на катушку|käämikodal kiämitetään langat puolaan|||
|v.|kiämüttada|kiämü/ttädä, -tän, -t'in|наматывать|käämittää, käämiä, puolata, tehdä käämiä|kiämkodal kiämütettäu langad kiämükš|скальницей наматывают нитки на катушку|käämikodal kiämitetään langat puolaan|||
|s. yhd.|kiändin/batog|kiän'd'in'/batog|рычаг в ткацком станке|kääntökeppi kangaspuissa||||||
|v.|kiätä|kiä/ttä, -ndän, -ndöin||||||||
|v.|kiänduda|kiändü/dä, -n, -in; -täu|повернуться|kääntyä||||||
|s.|kärbäine|(B, Pl, Td, M, Pk) kiärbä/in'e, -ižen, -št  ~ (B) -šč; -ižid; (Kn) kiärbä/ine, -ižen, -št; -žiid; (N) kierbäi/ine, -ižen, -št; -žid|муха|kärpänen||||||
kärbäine|s.|kärbähaine|kiärbähä/in'e, -ižen, -št; -ižid ~ (Ks) -ižiid|муха|kärpänen||||||
|s.|kiärmeh|kiärmeh, -en, -ht|цветение|kukinta, hedelmöinti (rukiin, veden)||||||
|v.|kiärmehtida|kiärmeht'i/dä, -u, -i|цвести|kukkia, heilimöidä (ruis, vesi)||||||
salbattu|adv.|kindi|kin'd'i|закреплено, закрыто|kiinni||||||
ahtaz|a.|kinded|kin'd'e/d, -dän, -däd; -d'id|неподвижный, узкий, слишком тугой|kiinteä, ahdas, liian tiukka||||||
|v.|kindittada|kin'd'i- ~ kiin'd'i/ttädä, -tän, -t'in|прикреплять, крепить, затуживать|kiinnittää, puristaa, tiivistää||||||
|s.|kird'aine|kir'd'a/in'e, -ižen, -št; -ižid|письмо|kirje||||||
|v.|kiištada|kiiš/tädä, -tän, -t'in; -tet't'ii|спорить|kiistää, kinata|emme kiištägöi|не спорим|emme kiistä|||
|v.|kiehtada|kieh/tädä, -tän, -t'in; -täu; -tet't'ii|сметь|kehdata, viitsiä||||||
|s.|kierd|kier, -an, -ad; -oid|раз|kerta||||||
|s.|kier II|kier, mon. p. -oid|перекрученный; ледяной|kierä (lanka, jää)||||||
|v.|kikota|ki/kota, -kkodan, -kkon'in; -kkon'|потерять равновесие, упасть назад|kadottaa tasapaino, kaatua taaksepäin||||||
|s.|kisa|kis/a, -an, -ad; -oid|кожаный мешок, кожаная сумка, кожаный рюкзак|nahkapussi, nahkalaukku, nahkareppu (kannettava)||||||
|v.|klejida|kle/idä, -in; (B) kle/ida, -in, -jin; (Td) kle/idä, -ijiu, -jii|||klejal kleitäu|клеем клеят|liimalla liimataan|||
|s.|klietk|(N) kl’ietk, -an, -ad||||||||
kobe, kohv, vuahte|s.|kobu|kobu, -n, -d|пена|vaahto||||||
kobe, kohv, vuahte|s.|kohv|(Pk) kohv, -an, -ad|пена|kohva, vaahto||||||
|s. yhd.|muilankobu|(Kn) muilan/kobu|мыльная пена|saippuavaahto||||||
|s.|kobr|kob/r, -ran, -rad; -r'id|кисть руки|koura||||||
|s. yhd.|kodavävü|koda/vävü|примак|kotivävy||||||
|s.|kodv|kodv, -an, -ad|длинный промежуток времени, долго|kotva, pitkä aika, kauan, hetki||||||
taloi|s.|kodi|kod'i, -n, -d; -id|дом, здание|talo, koti|(Hj) kaiken kod'in t'iäht'ižimme|мы пометили брёвна всего дома|merkitsimme koko talon (hirret)|kod'il lu|у дома|talon luona
|s.|kodi||||äigi last on kod'is?|сколько детей в доме?|montako lasta talossa on?|||
|adv.|kodiš|kod'is|дома|kotona|äigi last on kod'is?|сколько детей дома?|montako lasta kotona on?|||
|adv. yhd.|kodišpiä|(B) kod'is/piäi|из дому|kotoa|(B) olgot'et't'ii kod'ispiäi|отправили из дому|siirrettiin kauemmaksi kotoa|||
|adv.|kodih|kod'ii|домой|kotiin|läkkä kod'ii!|пойдём домой!|lähtekäämme kotiin!|||
|v.|kodvida|kod'vi/da, -n, -in; -tau|испытывать сети|kokea verkkoja, selota||||||
|s.|kogo|kogo, -n, -d; -id|куча, груда|läjä||||||
|v.|kogota|kogo/ta ~ -da, -dan, -žin; -tau|собирать|koota|emme kogokkoi|не собираем|emme kokoa|||
remont|s.|kohenduz|kohendu/z, -ksen, -st; -kšid|ремонт, улучшение|korjaus, parannus||||||
|v.|koheta I|kohe/ta, -ndan, -nžin; -ndau|ремонтировать, улучшать|korjata, parantaa||||||
|s.|koht I|koht, -an, -ad; -id|место|kohta|mald koht|тихое место (на реке)|tyyni kohta|(N) kazvehtunu koht|зарубчевавшееся место, шрам|arpeutunut paikka, arpi
|s.|koht II|koht, -an, -ad; -id|кофта|pusero (naisten)|saraffon da koht om puar akal|сарафан и кофта - костюм у женщины|feresi ja takki ovat naisten puhu|||
tiineh|a.|kohtuine|kohtu/in'e, -ižen, -št; -ižid|тяжёлый, беременная|raskas, kantava||||||
|v.|kohtustuda|kohtuštu/da ~ (Td) kohtištu/da  ~ (N) kohtustu/da, -n, -in; -u, -i|беременеть, забеременеть|tulla raskaaksi|(B) kein'e šinä kohtustuid?|с кем (кеми) ты забеременела?|kuka on saattanut sinut raskauden tilaan?|||
nahk|s.|koib|(B) koib, -en, -ed|шкура на ноге (медведя, коровы)|koipinahka (karhulla, lehmällä)||||||
|s. dem.|koiraine|(B) koira/in'e, -ižen, -št||||||||
|v.|koirastada|koira/stada, -stan, (Td) -ščin|облаять|haukkua (sanoin)||||||
|s. yhd.|koirannänn'|koiran'/n'än'n'i ~ (B, Td) koiran/nän'n' ~ (Pk) koiran/n'än'|ячмень (в глазе)|naarannappi (silmäluomessa), naarannäppylä||||||
|s.|koivik|koivi/kk, -kon, -kkod; -koid|березняк|koivikko||||||
|a.|koivuine II|koivu/in'e, -ižen, -št; -ižid|берёзовый|koivuinen, koivu-||||||
kotk, kotkoi|s.|kokoi|kok/oi, -oin, -oid; -koloid|орёл; кокач|kotka (lyP), kokko; soikea piirakka||||||
|s.|kokš|kokš, -an, -ad; -id|жердь для сушки сетей; подпорка для поленницы|verkonkuivauspuu (oksainen); tukipuu (halkopinon)||||||
|s. yhd.|kon'aparz'|kon'a/parž|коньковое бревно|kurkihirsi, harjahirsi||||||
|adv.|kontomel|kontomel|на четвереньках|kontallaan, kontin, ryömin||||||
|adv.-konj.|konz|konz|когда|koska, milloin, kun, konsa||||||
|v.|kopottida|kopo/t't'ida, -t't'iu, -t't'|вьюжить|pyrytä||||||
kuur'av|s.|kopot'|kopo/t', -t'in, -t't'id; -t'iid|вьюга|lumipyry, lumituisku, pyryilma||||||
|s.|koppal|koppal, -an, -ad; -oid|самка глухаря |koppelo, naarasmetso, emämetso||||||
|v.|korbeta I|korbe/ndada, -ndan, -nžin; -ndau; -ndet't'ii|обжигать (кипятком)|korventaa, polttaa (kuumalla vedellä)||||||
|v.|korbeta II|korbe/ta, -nen, -n'in; -nou, -n'|обжигать (кипятком)|korventaa||||||
|s.|korend|korend, -on, -od; -oid|коромысло|korento||||||
|a.|korged|korge/d, -dan, -dad; -d'id|высокий|korkea||||||
korman'|s.|korman|korman, -an, -ad; -oid|карман|tasku||||||
korman|s.|korman'|(B, Td, Pk, Lh, N) korman', -in, -id; -iid|карман|tasku|(Pk) kukkar on korman'is|кошелёк в кармане|kukkaro on taskussa|||
|s.|korman'||||(N) panou avad'imen korman'ii|положит ключ в карман|panee avaimen taskuunsa|||
|v.|koroda|koro/da, -n, -in; -tau|делать абы как, халтурить|kyhätä, tehdä jotenkuten||||||
olg II|s.|korz'|(B) kor/ž ~ (N) -ze, -den|стебель, соломинка|korsi, olki (kasvava)||||||
|s.|korteh|korteh, -en, -t: -hid; (B) kor/teh, -ttehen, -teh; -ttehid|хвощ |korte||||||
korvhang|s.|korv|korv, -an, -ad; -id|ухо|korva; heinäsuovan tukipuu (lyP)||||||
korv|s. mon.|korvad|korv/ad, -id|уши|korvaе; heinäsuovan tukipuut (lyP)||||||
|a. kar.|korvatoi|korva/toin'e, -ttoman, -tošt; -ttomid|безухий|korvaton||||||
|s.|korvoi|korvo/i, -in, -id; -loid; (Koik) korvo, -n|ушат|korvo|(Pl) tühd'enda korvoi!|опорожни  ушат!|tyhjennä korvo!|||
|s.|korvoi||||(Pl) korvoi tühd'ei| ушат опорожнился|korvo tyhjeni|(Koik) vihmuu kui korvos kuadau (OFM)|льёт как из ведра|sataa vettä kaatamalla
|s.|koskel|koskel, -on, -od; -oid|крохаль|koskelo (sorsa)||||||
|v.|koskeda|kosk/eda, -en, -in||||||||
kouhkoi|s. mon.|kouhkoid|kouhkoid|лёгкие|keuhkot||||||
kouhkoid|s.|kouhkoi|kouhkoi|лёгкое|keuhko||||||
kouhkoi|s.|lökköi|(N) l'okkoi, -n, -d|лёгкое|keuhko||||||
kouhkoid; lökköi|s. mon.|lökköid|(N) l'okkoid|лёгкие|keuhkot||||||
kouhkoi, lökköi|s.|lökkij|(Td) l'okki/i, -jan, -jad|лёгкое|keuhko||||||
kouhkoid, lökköid; lökkij|s. mon.|lökkijad|(Td) l'okkij/ad, -joid|лёгкие|keuhkot||||||
|s.|kour|kour, -an, -ad; -id|ковёр|rekitalja, rekimatto, rekiryijy||||||
kumartakse, painuda|v. refl.|kovertakse|koverda/zetta, -zen, -žin; -zou|согнуться, поклониться|kyyristyä, kumartua||||||
|adv.|koveruksiš|koverukšis|сгорбившись|kyyryssä, kyyrysissään, selkä kumarassa||||||
|v.|koveta|kove/ta, -nou, -n'|застывать|koveta||||||
kozlad|s.|kozl|kozl, -an, -ad; -id|козлы|kuskipukki, kuskipenkki, kuskinistuin; reenkorit; pukki, hepo, sahapukki||||||
|s.|koiv|koiv ~ (Kn, N) -u ~ (B) kuoiv, -un, -ud; -uid|берёза|koivu|(Td) kakssoarain'e koiv|двухствольная берёза|kaksihaarainen koivu|||
|s.|koir|koi/r ~ (B) kuoir, -ran, -rad; -r'id ~ (B, Pl, Td, Lh, N) -rid ~ (Kn) -riid|собака|koira|koir haukkuu|собака лает|koira haukkuu|(B, Td) koir uraidau|собака рычит|koira ärisee
sadahine|num. yhd.|kolmesadahine|kol'm/sadahin'e|трёхсотый|kolmassadas||||||
sadahine|num. yhd.|kaks'sadahine|kaks/sadahin'e|двухсотый, стоимостью 200 рублей|kahdessadas, kaksisataa maksava||||||
kolčaine, rengaz|s.|kolč|kol'č, -an, -ad; -id|кольцо|rengas, rautarengas (veneen kokkapuussa), vitsarengas (airon hangassa)||||||
kolč; rengahaine|s. dem.|kolčaine|kol'ča/in'e, -ižen, -št; -ižid||||||||
pall'az|a.|koll'ak|kol'l'a/k ~ -kk, -kan, -kkad; -koid|лысый|paljas, ruohoton, parraton||||||
|s.|kon'aval|kon'aval, -an, -ad; -oid|коновал|kuohari, salvuri||||||
kon'uš|s.|kon'ušn|kon'ušn' ~ (B, Td) kon'ušn, -an, -ad; -oid; , -an, -ad; -oid|конюшня|talli||||||
|s.|kon'uh|kon'u/h ~ -hh, -han, -hhad; -hoid|конюх|tallimies, tallirenki||||||
|s.|kondij|kon'd'i/i, -an, -ad; -oid; (B, Td, N) kon'd'i/i, -jan, -jad; -joid; (B) kon'd'/ii, -an, -ad; -oid|медведь|karhu, kontio|(Td) kon'd'ii läkš kaikked muailmad müöi kulgemai|отправился медведь слоняться по всему свету|kontio lähti koko maailmaa pitkin kulkemaan|(B) kon'd'ii, härg röngüu |медведь и бык ревут|karhu ja härkä kiljuvat
|s.|kondij||||(Pl) kon'd'ii mämmettau|karhu mörisee|медведь рычит|(B) ja šidä popad'ii kon'd'ii pezäs|и там попался медведь из берлоги|ja siellä sattui karhu tulemaan pesästä
|s.|kondij||||(N) lähtöü kond'ian ke küliloid müöi kond'iad ozutteumai|отправился с медведем по деревням показывать медведя|lähtee karhu mukana pitkin kyliä karhua näyttelemään|(B) kierta kondiad|обкладывать медведя|kiertää karhu ympäri
|s.|kord'|kor'd', -an, -ad; -id|сани|korja, ajoreki||||||
|s.|kopeik|kopeik, -an, -ad; -uun, -uud||||||||
pohd’luodeh|s.|kormil|kor'mil, -an, -ad|северо-запад|luode||||||
|s.|kos'akk|kos'a/kk, -kan, -kkad; -koid|косяк|kehäpuut (pyörän), pyörän kehän lohko||||||
kukkar|s.|košel'k|košel'/k ~ -kk, -kan, -kkad; -koiden, -koid|кошелёк|rahakukkaro||||||
|adv.|kozile|kožile|на сватание|kosimaan||||||
|v.|kozita|koži/ta ~ -da, -čen, -čin; -tau,-t't'ii; (Kn, N) koz'i/tta, -čen, -č(č)in|сватать|kosia||||||
|s.|koziču|(B, Td, Lh) kožiču/z, -ksen, -st|сватовство|kosinta||||||
|s.|kožoun'|kožoun', -an, -ad; -oid|кожевня|nahkaverstas, nahkurintehdas||||||
|s.|kožounik|kožoun'i/kk, -kan, -kkad; -koid|кожевник|nahkuri||||||
hambaz, klikk; kang, seibaz|s.|kola|kol/a, -an, -ad; -id|кол; клык (собачий)|seiväs; torahammas (lyP), kulmahammas (koiran)||||||
loškahtadakse|v.|kolahtoittada|(B) kolahtoi/ttada, -ttau, -t'|стукнуть, хлопнуть|kolahduttaa, kopauttaa||||||
kolaidoittada, pieksada|v.|kolaiduttada|kolaidu/ttada, -tan, -t'in; -tettau|взбивать (масло)|pyörähtää, hämmentää, pieksää härkimellä||||||
kolaiduttada, pieksada|v.|kolaidoittada|kolaidoi/ttada, -tan, -t'in; -tettau|взбивать (масло)|pyörähtää, hämmentää, pieksää härkimellä||||||
kolob|s.|kolb|kolb, -an, -ad; -id|пресный хлеб|rieska, ruisrieska, ohrarieska, ohut pyöreä paistoleipä|tobd' kolb|большой пресный хлеб|iso rieska|||
kolb|s. dem.|kolbaine|kolba/in'e, -ižen, -št; -ižid|пресный хлебец|rieska (pieni), ruiskakku (ohut)||||||
kehä|s.|kole|kole, -gen, -tt; -gid|катушка, ворот, рамка сновальни|kela, loinpuut||||||
|v.|kolišta|koli/šta, -žen, -žin; -štau, -št'ii|звенеть|kolista, kolata||||||
|num. yhd.|kolmandžkümmenendž|kolmaš/kümmenež ~ -kümmeneš|тридцатый|kolmaskymmenes||||||
kolmanpäiv|s. yhd.|kolmandžpäiv|kolmaš/päiv, kolmandem-  ~ kolmam/päivän; (Td) kolmanš-  ~ kolmanč/päiv, kolmam/päivän; (N) koumaš-  ~ koumanš/päiv|среда|keskiviikko|kolmandempäivän suadu lehm|рождённая в среду корова |keskiviikkona syntynyt lehmä|||
kolmandžpäiv|s. yhd.|kolmanpäiv|(Kn) kolmam/päiv, kolmam/päivän, (B) kolmat/päiväd|среда|keskiviikko||||||
|num.|kolmandž|kolma/ž, -nden, -t; -nžid|третий|kolmas||||||
|num.|kolme|kolme, -n, -d, -ee, -le, -kš, -ttai; (N) koume|три|kolme|(Pk) kolmed suutkad|трое суток|kolme vuorokautta|||
|num. yhd.|kolmekümment|kolme/küme ~ (B) -kümmen ~ (N) koume/küme, kolmen- ~ (N) koumen/kümmenen, kolmet/kümend|тридцать|kolmekymmentä||||||
|num. yhd.|kolmetošt|kolme/tošt|тринадцать|kolmetoista||||||
|num. yhd.|kolmetuhad|kolme/tuhad|три тысячи|kolmetuhatta|kolmetuhat sadattai|две тысячи девятьсот|kaksituhatta yhdeksänsataa|||
|num. yhd.|kolmesadad|kolme/sadad, kolmet/sadad|триста|kolmesataa||||||
|s.|kolmoi|kolmoi, -n, -d|имя в среду рождённой коровы|keskiviikkona syntyneen lehmän nimi||||||
|s.|kolod|kolod, -an, -ad; -oid|колода|korttipakka||||||
|s.|kolotk|kolotk, -an, -ad; -oid|колодка|höyläntukki, höylän puuosa||||||
|s.|kolotušk|kolotušk, -an, -ad; -id|колотушка|kolistin (yövartijan )||||||
kološid|s.|kološ|kolo/š,  -šin, -ššid; -šiiden, -šiid|галоша, калоша|kalossi, päällyskenkä||||||
kološ; kološad|s. mon.|kološid|kolo/šid, -šiiden, -šiid|галоши, калоши|kalossit, päällyskengät||||||
|v.|kolottida|kolo/t't'ida, -t'in, -t'iin|колотить|kolistaa, kolkuttaa||||||
|s.|kolpak|kolpa/kk, -kan, -kkad; -koid|колпак|uunin edustan päällys, uunin ranssi; lampun kupu||||||
kanankoda|s.|koda|kod/a, -an, -dad; -id|клетка для кур; ограждение вокруг мерёжи|kanahäkki, kanain yöhäkki; vaajoitettu merranpitopaikka (Td)||||||
kodaine|s. dem. mon.|kodaižed|(Pl) koda/ižed, -ižid|гнёздышко (игра)|pesäset, pesäleikki (tyttöjen)|läkkä kodaižii!|пойдём играть в гнёздышко!|ruvetaanpas pesäsille!|||
koda, kodaižed|s. dem.|kodaine|(Pl) koda/in'e, -ižen, -št; -ižid|клеточка; гнёздышко (игра)|häkki (pieni); pesänen, pesäleikki (tyttöjen)|läkkä kodaižii!|пойдём играть в гнёздышко!|ruvetaanpas pesäsille!|||
moli|s.|koja I|koj/a, -an, -ad; -id|моль|koi, vaatekoi||||||
|adv. yhd.|kojokuitegi|kojo/kuit'egi|кое-как|jotenkuten||||||
|adv. yhd.|kojokus|kojo/kus||||||||
|liitep.|kojo-|kojo-|||kojokuit'egi|кое-как|jotenkuten|||
bruja, tütt; kouk|s.|kokk|ko/kk, -kan, -kkad; -kkid|крюк; мужской орган|koukku; penis||||||
ong|s. dem.|koukuine|(Td, Pl) kouku/in'e, -ižen, -št; -ižid|крючок|koukku (pieni), mateenkoukku; hakanen (ovessa)||||||
kl'uuk, kokk|s.|kouk|(B, Td) kou/k ~ -kk, -kun, -kkud; -kuid|кочерга; крюк|hiilikoukku, uunikoukku; käsälä, keksi (tukinajossa)||||||
kotad|s.|kott|ko/tt, -tan, -ttad; -ttid|коты|varrettomat kengät|kotad|коты|varrettomat kengät|||
|s.|korb|ko/r'b, -rben, -rbed; -r'bid|глухой лес|korpi, vesiperäinen kuusimetsä||||||
|s.|kosk|ko/šk, -sken, -sked; -škid|порог (реки), водопад|koski, vesiputous||||||
niittada|v.|kossida I|ko/ššida, -šin, -šiin; -ššiu|косить|niittää||||||
|s.|koza|(B, Td, N) koz/a, -an, -ad; -id|коза|vuohi||||||
|s.|kravat'|krava/t't', -t'in, -t't'id; -t'iid|кровать|sänky||||||
|v.|kruassida|kra/s's'ida, -s'in, -s'iin; -s'itau|красить|maalata||||||
vidžaita, vidžišta, vihišta, vinguda|v.|kridžišta|(B) kridžišta; (Td) kridži/štä, -žöu, -ž|скрипеть|narista, kiristä (hampaat)|(Td) ukš, puu kridžižöu|дверь, дерево скрипит|ovi, puu narisee|||
|s.|kriepost'|kriepost', -in, -id; -iid|крепость|linnoitus, linna||||||
|s.|kringel'|kringel', -in, -id; -iid|крендель, баранка|rinkeli, rinkilä||||||
|s.|krišk|krišk, -an, -ad; -oid|крышка|kansi||||||
kindittada, sidoda|v.|krieppida|krie/ppidä, -pin, -piin; -ppiu|крепить|sitoa ympäri, sitoa lujasti||||||
biibal|s.|kroma|krom/a, -an, -ad; -id|кусок хлеба|leivänkappale, leivänpala, kannikka||||||
levo, skroun’|s.|kroun’|kroul', -an, -ad; -id;  (Kn) kröun', -an, -ad; -iid;  (N) kröule ~ kreul ~ kreul'/e, -an, -ad|кровля|ulkokatto||||||
kroun’, levo|s.|skroun’|(B, Pk) skroul' ~ (Pl)  skröul', -an, -ad;  (Td) skroun' ~ skr'on', -an, -ad|кровля, скат крыши|ulkokatto, pärekaton lape||||||
|s.|rott I|kro/tta, -tan, -ttad; -ttid|крыса|rotta||||||
püörüž|a.|kruugloi|kruug/lii ~krug/lii, -l'ian, -l'iad; -l'ijoid|крыглый|pyöreä||||||
dürk|a.|krutij|kruti/i, -an, -ad; -oid|крутой|jyrkkä||||||
|s.|kräkün|kräkün, -än, -äd; -öid; (B, Td) kräkun ~ (N) kr'akun, -an, -ad; -oid|крякун|sinisorsa, heinäsorsa||||||
kirguda|v.|kriikkuda|krii/kkuda, -kun, -kuin; -kkuu|кричать|huutaa kimeästi, kirkua, torailla||||||
muju|s.|kruask|(Td) krask, -an, -ad, -al||maali, väri||||||
|s.|kruug|kruug, -an, -ad; -id|круг; хоровод|pyörä (ajoneuvon); piiri, ympyrä, piirileikki, yhteismetsät; kerinpuut, loinpuut, suuri kela |(Pl) kruugaa viättä|водить хоровод|leikkiä piirileikkiä|||
|s. dem.|kruugaine|(Td) kruuga/in’e, -ižen, -št'; -ižid||||||||
|v. refl.|kruuttidakse|kruut't'i/zetta, -zen, -žin|наряжаться|pukeutua hyviin vaatteisiin||||||
sobad|s.|kruut|kruu/tt, -ttad|одежда|vaatteet, vaatetavara||||||
|s.|kuar' I|kuar, -an, -ad; -oid|шнангоут|kaari (veneen)||||||
tüö|s.|kuabe|kuabe ~ (N) kuobe/(g), -gen, -tt; -gid|очёс, очёски (льна, конопли)|kaave, rohdin, hylkypellava||||||
kuabida|v.|kuabita|kuabi/ta, -čen, -čin; -tau, -t't'ii|скрести, скоблить, рыть|kaapia, kuopia||||||
|s. mon.|kuadd'ad|kuad'd'/ad ~ (B) kuad'ad ~ (N) kuod'(d')ad, -oiden, -oid|штаны (нижние), подштанники|alushousut (miehen), kaatiot||||||
|s. yhd.|kuadijvüö|kuad'ii/vüö|ремень нижних штанов|alushousujen vyö||||||
|v. frekv.|kualelta|kuale/lda, -len, -l'i; -ldau|переходить брод|kahlailla||||||
|v. refl.|kuajidakse|kuaji/zetta, -zen, -žin|каяться; клясться |katua, tunnustaa syntinsä; vannoa||||||
tade|s.|kuak|kua/kk, -kun, -kkud; -kuid|куча экскрементов|ulostekokkare||||||
|a.|kuar' II|kuar', -an, -ad; -oid|гнедой|tummanruskea, ruskea (hevonen)||||||
|v.|kualada|kual/ada, -an, -oin; -au, -oi; -etau||||||||
|v.|kuata|kua/tta, -dan, -doin|||(Koik) vihmuu kui korvos kuadau (OFM)|льёт как из ведра|sataa vettä kaatamalla|||
kubaidoittada, kubištoittada|v.|kubaiduttada|kubaidu/ttada, -tan, -t'in|чесаться|syyhyttää, hangata (ihoa)||||||
kubaiduttada, kubištoittada|v.|kubaidoittada|kubaidoi/ttada, -tan, -t'in|чесаться|syyhyttää, hangata (ihoa)||||||
|s.|kubaz|kuba/s, -han, -st; -hid|кубас, буй рыбной ловушки|kuvas, kalanpyydysmerkki||||||
