Synonyymit|Määrittely|kirjalyydi|Murremuoto|Venäjännös|Suomennos|1. esim.|1. esim:n venäjännös|1. esim:n suomennos|2. esim.|2. esim:n venäjännös|2. esim:n suomennos
|s.|kord'|kor'd', -an, -ad; -id|сани|korja, ajoreki||||||
pohd’luodeh|s.|kormil|kor'mil, -an, -ad|северо-запад|luode||||||
|s.|kos'akk|kos'a/kk, -kan, -kkad; -koid|косяк|kehäpuut (pyörän), pyörän kehän lohko||||||
kukkar|s.|košel'k|košel'/k ~ -kk, -kan, -kkad; -koiden, -koid|кошелёк|rahakukkaro||||||
|adv.|kozile|kožile|на сватание|kosimaan||||||
|v.|kozita|koži/ta ~ -da, -čen, -čin; -tau,-t't'ii |свяататься|kosia||||||
|s.|kožoun'|kožoun', -an, -ad; -oid|кожевня|nahkaverstas, nahkurintehdas||||||
|s.|kožounik|kožoun'i/kk, -kan, -kkad; -koid|кожевник|nahkuri||||||
kolaidoittada|v.|kolaiduttada|kolaidu/ttada, -tan, -t'in; -tettau|взбивать (масло)|pyörähtää, hämmentää, pieksää härkimellä||||||
kolob|s.|kolb|kolb, -an, -ad; -id|пресный хлеб|rieska, ruisrieska, ohrarieska, ohut pyöreä paistoleipä|tobd' kolb|большой пресный хлеб|iso rieska|||
kolb|s. dem.|kolbaine|kolba/in'e, -ižen, -št; -ižid|пресный хлебец|rieska (pieni), ruiskakku (ohut)||||||
|s.|kole|kole, -gen, -tt; -gid|катушка|kela, loinpuut||||||
|v.|kolišta|koli/šta, -žen, -žin; -štau, -št'ii|звенеть|kolista, kolata||||||
|num. yhd.|kolmandžkümmenendž|kolmaš/kümmenež ~ -kümmeneš|тридцатый|kolmaskymmenes||||||
|s. yhd.|kolmanpäiv|kolmaš/päiv, kolmandem-  ~ kolman/päivän|среда|keskiviikko|kolmandempäivän suadu lehm|рождённая в среду корова |keskiviikkona syntynyt lehmä|||
|num.|kolmandž|kolma/ž, -nden, -t; -nžid|третий|kolmas||||||
|num.|kolme|kolme, -n, -d, -ee, -le, -kš, -ttai|три|kolme|(Pk) kolmed suutkad|трое суток|kolme vuorokautta|||
|num. yhd.|kolmekümment|kolme/küme, kolmen/kümmenen, kolmet/kümend|тридцать|kolmekymmentä||||||
|num. yhd.|kolmetošt|kolme/tošt|тринадцать|kolmetoista||||||
|num. yhd.|kolmetuhad|kolme/tuhad|три тысячи|kolmetuhatta||||||
|s.|kolmoi|kolmoi, -n, -d|имя в среду рождённой коровы|keskiviikkona syntyneen lehmän nimi||||||
|s.|kolod|kolod, -an, -ad; -oid|колода|korttipakka||||||
|s.|kolotk|kolotk, -an, -ad; -oid|колодка|höyläntukki, höylän puuosa||||||
|s.|kolotušk|kolotušk, -an, -ad; -id|колотушка|kolistin (yövartijan )||||||
|s.|kološ|kolo/š,  -šin, -ššid; -šiiden, -šiid|калоша|kalossi, päällyskenkä||||||
|v.|kolottida|kolo/t't'ida, -t'in, -t'iin|колотить|kolistaa, kolkuttaa||||||
|s.|kolpak|kolpa/kk, -kan, -kkad; -koid|колпак|uunin edustan päällys, uunin ranssi; lampun kupu||||||
|s.|koda|kod/a, -an, -dad; -id|курятник|kananhäkki, kanain yöhäkki||||||
moli|s.|koja I|koj/a, -an, -ad; -id|моль|koi, vaatekoi||||||
|adv. yhd.|kojo-kuitegi|kojo/kuit'egi|кое-как|jotenkuten||||||
kouk; tütt|s.|kokk|ko/kk, -kan, -kkad; -kkid|крюк; член (мужской)|koukku; penis||||||
ong|s. dem.|koukuine|(Td, Pl) kouku/in'e, -ižen, -št; -ižid|крючок|koukku (pieni), mateenkoukku; hakanen (ovessa)||||||
kl'uuk, kokk|s.|kouk|(B, Td) kou/k ~ -kk, -kun, -kkud; -kuid|кочерга; крюк|hiilikoukku, uunikoukku; käsälä, keksi (tukinajossa)||||||
kotad|s.|kott|ko/tt, -tan, -ttad; -ttid|коты|varrettomat kengät|kotad|коты|varrettomat kengät|||
|s.|korb|ko/r'b, -rben, -rbed; -r'bid|глухой лес|korpi, vesiperäinen kuusimetsä||||||
|s.|kosk|ko/šk, -sken, -sked; -škid|водопад|koski, vesiputous||||||
niittada|v.|kossida|ko/ššida, -šin, -šiin; -ššiu|косить|niittää||||||
|s.|kravat'|krava/t't', -t'in, -t't'id; -t'iid|кровать|sänky||||||
|v.|kruassida|kra/s's'ida, -s'in, -s'iin; -s'itau|красить|maalata||||||
|s.|kriepost'|kriepost', -in, -id; -iid|крепость|linnoitus, linna||||||
|s.|kringel'|kringel', -in, -id; -iid|крендель, баранка|rinkeli, rinkilä||||||
|s.|krišk|krišk, -an, -ad; -oid|крышка|kansi||||||
kindittada, sidoda|v.|krieppida|krie/ppidä, -pin, -piin; -ppiu|крепить|sitoa ympäri, sitoa lujasti||||||
biibal|s.|kroma|krom/a, -an, -ad; -id|кусок хлеба|leivänkappale, leivänpala, kannikka||||||
|s.|kroun’|kroul', -an, -ad; -id|кровля|katto, ulkokatto||||||
|s.|krott|kro/tta, -tan, -ttad; -ttid|крыса|rotta||||||
püörüž|a.|kruugloi|kruug/lii ~krug/lii, -l'ian, -l'iad; -l'ijoid|крыглый|pyöreä||||||
dürk|a.|krutij|krutii|крутой|jyrkkä||||||
|s.|kräkün|kräkün, -än, -äd; -öid|крякун|sorsalaji||||||
kirguda|v.|kriikkuda|krii/kkuda, -kun, -kuin; -kkuu|кричать|huutaa kimeästi, kirkua, torailla||||||
|s.|kruug|kruug, -an, -ad; -id|круг|piiri, ympyrä, yhteismetsät; kerinpuut, loinpuut, suuri kela ||||||
|v. refl.|kruuttidakse|kruut't'i/zetta, -zen, -žin|наряжаться|pukeutua hyviin vaatteisiin||||||
sobad|s.|kruut|kruu/tt, -ttad|одежда|vaatteet, vaatetavara||||||
|s.|kuar' I|kuar, -an, -ad; -oid|шнангоут|kaari (veneen)||||||
|s.|kuabe|kuabe, -gen, -tt; -gid|очёс, очёски (льна, конопли)|kaave, rohdin, hylkypellava||||||
kuabida|v.|kuabita|kuabi/ta, -čen, -čin; -tau, -t't'ii|скрести, скоблить, рыть|kaapia, kuopia||||||
|s. mon.|kuadd'ad|kuad'd'/ad, -oiden, -oid|трусы (мужские), нижние штаны|alushousut (miehen), kaatiot||||||
|s. yhd.|kuadijvüö|kuad'ii/vüö|ремень нижних штанов|alushousujen vyö||||||
|v. frekv.|kualelta|kuale/lda, -len, -l'i; -ldau|переходить брод|kahlailla||||||
|v. refl.|kuajidakse|kuaji/zetta, -zen, -žin|каяться; клясться |katua, tunnustaa syntinsä; vannoa||||||
tade|s.|kuak|kua/kk, -kun, -kkud; -kuid|куча экскрементов|ulostekokkare||||||
|a.|kuar' II|kuar', -an, -ad; -oid|гнедой|tummanruskea, ruskea (hevonen)||||||
|v.|kualada|kual/ada, -an, -oin; -etau|перейти брод|kahlata, tallata||||||
kubaidoittada, kubištoittada|v.|kubaiduttada|kubaidu/ttada, -tan, -t'in|чесаться|syyhyttää, hangata (ihoa)||||||
kubaiduttada, kubištoittada|v.|kubaidoittada|kubaidoi/ttada, -tan, -t'in|чесаться|syyhyttää, hangata (ihoa)||||||
|s.|kubaz|kuba/s, -han, -st; -hid|кубас, буй рыбной ловушки|kuvas, kalanpyydysmerkki||||||
kubaidoittada, kubaiduttada, kubišta|v.|kubištoittada|kubištoi/ttada, -tan, -t'in|чесаться|syyhyttää, hangata (syyhyssä); syyhyä||||||
kubištoittada|v.|kubišta|kubi/šta, -žen, -žin; -žou, -ž|чесать|syyhytä, syyhyä, kutista, kutkuta||||||
|s.|kubu|kubu, -n, -d; -id|брюхо|kupu, linnunkupu, olkikupu||||||
|pron.|kudam|kudam, kudaman, kuda (yks. p.); kudamiden, kudamid|который|joka, mikä, kumpi|haukid leibäd, kudam d'iäu palain'e, se on hambaspala|откусишь хлеба, тот кусочек, который остнается, и есть откушенный кусок|haukot leipää, se pala, joka jää, on haukkapala|lambaz, kudam eule suanu vuon'id vie|овца, которая ещё не имеет ягнят|lammas, joka ei ole karitsoinut vielä
|s.|kude|kude, -gen, -tt; -gid|уток, горизонтальная нить (в ткачестве)|kude (kankaan)||||||
|s.|kudelm|kudelm, -an, -ad; -oid|икра|kutu, mäti (sammakon) ||||||
kud'vahtada|v. refl.|kud'vahtadakse|kud'vahta/zetta, -zen, -žin; -zou; -zet't'ii|шевельнуться|liikahtaa||||||
|v.|kud'vahtada|kud'vaht/ada, -an, -in|шевельнуться|liikahtaa||||||
|s.|kudžu|kud'žu, -n, -d; -id|щенок|koiranpentu||||||
kuga|adv.|kugal|kugal|где, откуда|missä, mistä||||||
kugal|adv.|kuga|kuga|где, откуда|missä, mistä||||||
|pron.|kugalaine|kugala/in'e, -ižen, -št; -ižid|каковский|mistä kotoisin||||||
|s.|kuid|kuid, -un, -ud; -id|волокно|kuitu||||||
|v.|kuivata|kuiva/ta, -dan, -žin; -dau; -tau|сушить|kuivata||||||
|a.|kuiv|kuiv, -an, -ad; -id|сухой|kuiva|kuiv nagr'iž|сухая репа|kuiva nauris|||
|v.|kuivada|kuiva/da, -an, -in; -au, -i; -etau|сохнуть|kuivaa, kuivua||||||
kuivahtuda|v.|kuivehtuda|kuivehtu/da, -u, -i|высохнуть|kuivahtaa, kuivua||||||
|s.|kukkar|kukkar, -on, -od; -oid|кошелёк|kukkaro, rahakukkaro (tupakkapussin muotoinen)||||||
|v.|kukkuda|ku/kkuda, -kun, -kuin; -kkuu|куковать|kukkua||||||
|s. yhd.|kukoipiidžahaine|kukoi/piid'žahain'e, -piid'žahaižen, -piid'žahašt; -piid'žahaižid||orjantappura, orjanruusu||||||
|s.|kukšoi|kukšo/i, -n, -d; -loid|кукша|kuukkeli, kuusanka|kukšoi on rusked l'ind, mečäss eläu|кукша - красноватая птица, в лесу живёт|kuukkeli on punertava lintu, metsässä elää|||
|adv.|kumadi|kumad'i|вверх дном|kumossaan, kumoon, alassuin||||||
|v. mom.|kumaita|kumai/tta, -dan, -žin; -dau; -ttau|опрокинуть, вылить|kaataa, kääntää kumoon||||||
|v. frekv. refl.|kumardeltakse|kumarde/lzetta, -lzen, , -l'ižin; -lzou|покланяться|kumarrella||||||
|s.|kumak|kuma/k, -kan, -kkad; -koid|кумач|punainen paitakangas, punainen pumpulikangas||||||
|s.|kumpas|kumpa/s, -san, -ssad; -soid|компас|kompassi||||||
kuundelij|a.|kuundelič|kundel'i/č, -čan, -ččad; -čoid|послушный|kuuliainen, tottelevainen||||||
|v.|kuundelta|kunde/lda, -len, -l'in; -ldau, -ld'ii|слушать|kuunnella||||||
kunna|adv.|kunne|kunne|куда|minne, mihin||||||
kunne|adv.|kunna|kunne|куда|minne, mihin||||||
|s. dem.|kuokain'e|kuoka/in'e, -ižen, -št; -ižid|крючок для двери, засов|ovenhaka, säppi (ovessa)||||||
|s.|kuom|kuom, -an, -ad; -id|крёстный, кум|kuoma, kummi, ristivanhempi||||||
|v.|kuonduda|kuondu/da, -n, -in; -tau, -t't'ii|проснуться, очнуться|herätä unesta, herätä makaamasta; tulla tajuihinsa||||||
|a. kar.|kuorittamatoi|kuor'ittama/toin'e,  -ttoman, -tošt; -ttomid|нечищенное дерево|kuorimaton (puu)||||||
|s.|kuolij|kuol'i/i, -an, -ad; -joid|мёртвый, покойник|kuolija||||||
|s. yhd.|kuolijanmuard'|(B, Pl) kuolijan/mard'|ядовитая ягода (чёрная)|sudenmarja, paatsaman marja; juolukka (N)||||||
kalmižem, kalmižmua, kuolijmua, kuuzik|s. yhd.|kuoližmua|(Td) kuol'iž/mua|кладбище|kalmisto, hautausmaa|(Td) ende sanut'ii kuol'ižmua, n'ügü mogil|раньше называли кладбище, теперь могильник|ennen sanottiin kalmisto, vaan nyt hautausmaa|||
kalmižem, kalmižmua, kuoližmua, kuuzik|s. yhd.|kuolijmua|(B) kuolij/moa|кладбище|kalmisto, hautausmaa||||||
kuorittada|v.|kuorida|kuor'i/da, -n, -in; -u|снимать сливки|kuoria (kerma)||||||
kuorida|v.|kuorittada|kuor'i/ttada, -tan, -t'in|чистить дерево|kuoria (puu)||||||
|s. yhd.|kuožalinlaba|kuožal'in/laba|лопасть прялки, донце прялки|kuoselin istuinlauta||||||
|s. yhd.|kuožal'piä|kuožal'/piä|кудель|kuontalo, tutti, pellavat kuosalissa||||||
|s. yhd.|kuožal'puikk|kuožal'/puikk|спица для кудели|kuoselin tappi, läpi kuontalossa||||||
|s. yhd.|kuožal'rihm|kuožal'/rihm|лента для кудели|kuoselihihna (jolla kuontalo kiinnitetään)||||||
|s.|kuožal'|kuožal', -in, -id; -iid|прялка|kuoseli, kehräpuu||||||
|s.|kuok|kuo/kk, -kan, -kkad; -kkid|мотыга|kuokka||||||
|v.|kuokkida|kuo/kkida, -kin, -kiin;  -kkiu; -kitau, -kit't'ii|разрыхлять|kuokkia||||||
|s.|kuor'|kuo/r', -en, -rd, -red, -r'iden, -rid|корка, кора, скорлупа|kuori||||||
|v.|kuolda|kuo/lda, -len, -l'in;  -lou, -l'; -ldau, -l'd'ii|умирать|kuolla|en kuolnu|я не умер|en kuollut|ei kuoldu|не умерли|ei kuoltu
|s.|kupc|kupc, -an, -ad; -id|купец|kauppias||||||
|s. yhd.|kurgenkattil|kurgen/kat't'il|во ржи растучая трава|rukiissa kasvava heinä||||||
|s. dem.|kurikaine|kurika/in'e, -ižen, -št; -ižid|дубинка|kurikka, puunuija (pieni)||||||
|v. frekv.|kurudelta|kurude/lda, -len, -l'in; -lou; -ldau|кататься, валяться|vieritellä, vieriellä, kieriellä||||||
|v.|kuruttada|kuru/ttada, -tan, -t'in|катить, валять|vierittää, kierittää||||||
|s.|kuurnik|kurn'i/kk, -kan, -kkad; -koiden, -koid|рыбник|kalakukko||||||
|s.|kurk II|kur/kk, -kun, -kkud; -kuid|горло|kurkku, kurkunpää||||||
|s.|kurt|kur/tt, -tan, -ttad; -tid|куртка|naisen takki||||||
|adv. yhd.|kus-puuttu|kus- ~kuss/puuttu(u)|где попало|missä sattuu||||||
|v.|kutkettada|kutke/ttada, -ttau|квакать|kurnuttaa||||||
|s.|kučer|kučer, -an, -ad; -oid|кучер|kuskari, kuski, ajaja||||||
|s.|kuterm|kut'erm, -an, -ad; -oiden, -oid|кутерьма|lumimyrsky||||||
|s.|kut'kutez|kut'kute/z, -st|щекотка|kutkutus, kutitus, kutittaminen||||||
|v.|kut'kuttada|kut'ku/ttada, -tan, -t'in|щекотать|kutkuttaa, kutittaa||||||
|v.|kuulda|kuu/lda, -len, -l'in; -lou; -ldau, -l'd'ii|слышать|kuulla||||||
|s.|kuva|kuv/a, -an, -ad; -id|колодка (сапожная); чучело (для охоты)|lesti (suutarin); teerenkuva||||||
|s.|kuvahaine|kuvaha/in'e, -ižen, -št; -ižid|тень, отражение|varjo, varjokuva, kuvastus||||||
|v.|kuvata|kuva/ta, -dan, -žin; -t't'ii|изготовлять обувь на колодке|panna lesti kenkään||||||
suogurbič, suogurboi |s.|kulik|kul'i/kk, -kan, -kkad; -koid|кроншнеп|suokurppa, kuovi||||||
|a.|kudžer|kun'd'žer, -an, -ad; -oid;  (Td) kud'žer ~ kid'žer , -an, -ad; -id|кудрявый|kihara, kähärä|(B) kun'd'žerad tukad|кудрявые волосы, кудри|kihara tukka|||
|konj.|kuni|kun'i|до того, как; когда|kunnes, kun, niin kauan kuin||||||
|s.|kuningaz|kun'inga/z, -han, -st; -hid|царь, король|kuningas, keisari, tsaari||||||
|s.|kunič|kun'i/čč, -čan, -ččad; -čoid|куница|näätä||||||
|s.|kurik|kur'i/kk, -kan, -kkad; -koid|дубина|kurikka, puukurikka, halkonuija||||||
vüö|s.|kušak|kuša/kk, -kon, -kkod; -koid|кушак|päällysvyö, leveä vyö (kudottu, neulottu)||||||
|s.|kulm|kulm, -an, -ad; -id|бровь|silmäkulma, kulmakarvat||||||
|a.|kulmaine|kulma/in'e, -ižen, -št; -ižid|бровый|kulmainen||||||
kulu|a.|kulu|kulu, -n, -d; -id|изношенный, плохой|kulunut, huono||||||
rašk, rauk, rukk, vaivaine|s.|kulu|kulu, -n, -d; -id|бедняга; негодник, непригодная вещь|raukka, poloinen, pahanen, rääsy||||||
|a.|kuluin'e|kulu/in'e, -ižen, -št; -ižid|жалкий, дряхлый, негожий|pahainen, rähjä||||||
kududa; niegloda|v.|kudoda|kudo/da, -n, -in; -u, -i; -tau, -t't'ii|ткать, вязать; нереститься, метать икру|kutoa, neuloa; kutea|kangaspuil kangast kudotau|на ткацком станке ткут ткань|kangaspuilla kangasta kudotaan|kalad kudotau|рыбы нерестятся|kalat kutevat
|s.|kuha|kuh/a, -an, -ad; -id|судак |kuha||||||
|s.|kujo|kujo, -n, -d; -id|переулок|kuja||||||
kujo|s. dem.|kujoine|kujo/in'e, -ižen, -št; -ižid|улочка|kuja (pieni)||||||
|v.|kusta|ku/sta, -zen, -žin; -zou; -stau, -št'ii |откуда|kusta||||||
|v.|kuccuda|ku/ččuda, -čun, -čuin; -ččuu; -čut't'ii|звать, именовать, просить|kutsua, nimittää, pyytää||||||
havad|s.|kul'a|kul'/a, -an, -ad; -l'id|куль|kuli, jauhokuli, niinisäkki, jauhomatto||||||
|s.|kurg|ku/r'g, -rgen, -rged; -r'gid|журавль|kurki||||||
|s.|kuzi|ku/ži, -zen, -st|моча|kusi||||||
|s.|kvast'|kvast', -in, -id; -iid|квасцы, квасцовый сланец|aluna, alunakivi, valkea kivi (jolla ahavoituneita huulia voidellaan)||||||
käbü|s.|käbr|käbr, -ün, -üd; -üid|шишка|käpy, kuusenkäpy||||||
|s.|käbäl|käbäl, -än, -äd; -öid|лапа|käpälä||||||
|s.|käbü|käbü, -n, -d; -id|челнок|käpy (verkonkutojan)||||||
|a. kar.|kädetoi|kädetö/ine, -ižen, -št; -ižid|безрукий|kädetön, käsipuoli||||||
|s. yhd.|kägenmuard'|kägem/muard'|волчеягодник|näsiä, näsiän marja||||||
|s.|kämmen|kämme/n', -n'en, -nd; -n'id|ладонь|kämmen||||||
käbäl|s.|käpät|käpä/tt, -tän, -ttäd; -töid|лапа|käpälä||||||
|s.|kärg|kä/r'g, -rgen, -rged; -r'gid|дятел чёрный|palokärki||||||
|v. frekv.|kävelta|käve/ldä, -len,  -l'in; -löu, -l'; -ldäu, -l'd'ii|ходить, гулять|kävellä, kuljeksia||||||
|v.|kävüda|kävü/dä, -n, -in; -u; -täu ~ käüdäu|сходить (куда нибудь)|käydä (jossakin)||||||
|s.|kävünd, -an, -ad|kävünd, -än, -äd|хождение, посещение, побывка|käynti|(Td) l'innai kävünd|посещение города|kaupungissa käynti|||
|s. yhd.|käzipaikk|käži/paikk|полотенце|pyyheliina, pyyhe||||||
|s. yhd.|käziastij|käz/äšče, -äščän, -äščäd; -äščöid|сосуд для мытья|pesuastia||||||
|s. yhd.|käzikivi|käži/kivi|жернова|käsikivi||||||
|s. yhd.|käzikuvahaine|käži/kuvahain'e|оружие|ase, lyöntiase (seiväs, kalikka)||||||
|adv. yhd.|käzikädes|käži/kädes|рука об руку|käsikkäin||||||
|adv. yhd.|käzimujegil|käži/mujegil|жать руку при договоре|kädellä koetellen||||||
|s.|kägi|käg/i, -en, -ed; -id|кукушка|käki||||||
|v.|käskeda|kä/skedä, -sken, -škin; -skedäu|приказывать|käskeä||||||
allekird'utez|s.|käži|käži, käden, kätt; käžiden, käžid|рука; знак, подпись|käsi; puumerkki, nimikirjoitus||||||
|v.|köühtüda|k'öuhtü/dä, -n, -in; -u, -i|нищать, беднеть|köyhtyä||||||
|v.|kübeta|kübe/nttä, -ndäu, -nž; -nttäu, -n't't'ii|искриться, искрить|kipinöidä, syöstä kipinöitä, laskea kipinöitä||||||
kibin|s.|küben|kübe/n, -nen, -nd, -ned; -n'iden, -n'id|искра|kipinä, kipuna||||||
|v.|küdeuzuda|küdeüzü/dä, -u, -i; -ttäu|начинать тлеть|ruveta kytemään||||||
|v.|küdöda|küdö/dä, -u, -i; -täu, -t't'ii|тлеть|kyteä||||||
|s.|küdü|küdü, -n, -d; -id|деверь|kyty, miehen veli||||||
|v. refl.|külbedakse|külb/ezettä, -ezen, -iime; -ezöu; -ezettäu|париться веником|kylpeä (vastalla)||||||
|a.|külläine|küllä/in'e, -ižen, -št; -ižid|сытый, жирный|kylläinen, tarpeeksi syönyt, lihava||||||
|s.|külmäčim|külmačči/m, -men, -nd; -miden, -mid|вид утки|sotkalaji, sorsalaji||||||
|v.|külmäta|külmä/tä, -dän, -žin; -däu, -ž; -täu|замерзать|palelluttaa, jäähdyttää||||||
|s.|külä|kü/lä, -län, -läd; -l'iden, -l'id|деревня|kylä||||||
|s.|külü|külü, -n, -d; -id|баня|sauna|(B) kn'agin on d’o külüü taluttu |невеста уже свожена в баню|morsian on jo saunassa käytetty|||
|v.|külbeda|külb/edä, -en, -in; -öu; -edäu, -ed'ii |мыться, париться, купаться|kylpeä, vihtoa, uida||||||
|v.|külmäda|külm/ädä, -än, -in; -äu; -et't'ii|простудиться, замёрзнуть|kylmettyä, vilustua, palella, jäätyä||||||
|num.|kümmenendž|kümmenež, kümmenenden, kümmenet;  kümmenenžid|десятый|kymmenes||||||
|num.|kümmene|kümmene, kümmenen, kümend|десять|kymmenen||||||
|s.|kündüz|kündü/z, -ksen, -st; -kšid|порог|kynnys||||||
|v.|küntä|künttä, kündän, kün'd'in; kündäu; künttäu,  kün't't'ii|пахать|kyntää|emme künkköi|не пашем|emme kynnä|||
|v.|küpseta|küpse/tä, -nen, -n'in; -nöü, -n'|созревать|kypsyä||||||
|s.|kürz|kürz, -än, -äd; -id|блин, плохой хлеб|pannukakku (ohut), kyrsä||||||
|v.|kütkida|kütki/dä, -n, -in; -u, -i; -täu, -t't'ii|полоть, пропалывать|kitkeä|(B) šiid ku kazvau taimened, küt'kitau pelvaz|потом, когда прорастёт рассада, пропалывают лён|sitten kun pellava on kasvanut taimelle, kitketään se |||
|s.|pelvaz|pelva/z, -han, -st;  -hid|лён|pellava|(B) šiid ku kazvau taimened, küt'kitau pelvaz|потом, когда прорастёт рассада, пропалывают лён|sitten kun pellava on kasvanut taimelle, kitketään se |||
|s.|kütküd|kütkü/d, -den, -tt; -žid|привязь (для скота)|kytkyt (nuorasta)||||||
|s.|küühköi|küuhkö/i, -n, -d; -löid|голубь|kyyhkynen, metsäkyyhkynen||||||
|s.|küür|k'üur, -än ~ -an, -äd ~ -ad; -id|предплечье|kyynärä, kyynärpään ja keskisormen väli||||||
külläldi|adv.|külläl|kül'l'äl|досыта, щедро, вдоволь, с избытком|kylliksi, kyllälti||||||
|adv.|külläldi|(Td) külläldi|досыта, щедро, вдоволь, с избытком|kyllälti, kylliksi |(Td) kaikked oli külläldi|всего было вдоволь|kaikkea oli kylliksi|||
riibida|v.|kündžida|kün'd'ži/dä, -n, -in; -u, -i; -täu|царапать|kynsiä||||||
|v. frekv.|küzelta|küže/ldä, -len, -l'in; -ldäu|спрашивать|kysellä|en küželnü|я не расспрашивал|en kysellyt|||
|v.|küzüda|küžü/dä, -n, -in; -u, -i|спросить|kysyä||||||
|a.|küps'|kü/pš, -psen, -st; -pšiden, -pšid|зрелый|kypsä||||||
|s.|kündž|kü/n'd'ž, -nden, -ntt; -n'd'židen, -n'd'žid|ноготь|kynsi||||||
|s. yhd.|kiimaig|kiim/aig|гон|kiima-aika||||||
|v.|kiimida|kiimi/dä, -n, -in; -täu, -t't'ii|быть в гоне|kiimailla, olla kiimoillaan; olla vallaton||||||
huolitand, huolituz|s.|kiireh|kiireh, -en, -t|спешка|kiire||||||
huolittada|v.|kiirehtada|kiireh/tädä, -tän, -t'in; -tettau|спешить, торопиться; торопить, ускорять|kiirehtiä, kiiruhtaa||||||
|s. dem.|kiiškine|kiški/n'e, -žen, -št; -židen, -žid|ёршик|kiiski|kiškižiden kere tul'i haug|с ершиками попалась щука|pikku kiiskien kera tuli hauki (pyydykseen) |||
kiišk|s. mon.|kiiškad|kiišk/ad, -oid|кишки|suolet, sisälmykset||||||
|adv.|kiištah|kiištaa|соревноваться|kilpaa||||||
|s.|kiišt|kiišt, -an, -tad; -toid|спор|kiista, kina, riita, kilpa||||||
|v.|kiittada|kii/t't'ädä, -t'än, -t'in; -t'etäu, -t'et't'ii|благодарить, хвалить, величать|kiittää, kehua, ylistää||||||
kouk|s.|kl'uuk|kl'uu/kk, -kan, -kkad; -kkid|крюк|koukku, saranakoukku (seinään lyöty)||||||
|s.|kriež|kr'iež, -an, -ad; -oid|кряж|harju, vuori, mäki, töyräs (joen)||||||
|s.|kuu|kuu, -n, -d; kuid|месяц (года)|kuukausi||||||
|num.|kuudendž|kuude/ž, -nden, -t; -nžiden, -nžid|шестой|kuudes||||||
|s.|kuudam|kuudam, -en; (Ks) kulda/in, -men, -ind|луна, месяц (светило)|kuu||||||
kuudam|s.|kuldoi|kuudoi, -n, -d|луна, месяц (светило)|kuu, kuutamo|kuudoi paštoi taivahal|месяц светил нa небе|kuutamo paistoi taivaassa|||
|s. yhd. dem.|kuupaidaine|kuu/paidain'e|плёнка вокруг рождающегося жеребёнка|kalvo syntyvän varsan ympärillä, syntymäpussi (varsan) ||||||
|num. yhd.|kuuz'sadad|kuus/sadad|шестьсот|kuusisataa||||||
kuuz'ud|s. dem.|kuuzahaine|kuuzaha/in'e, -ižen, -št; -ižid|молодая ёль, ёлочка|kuusi (pieni), näre||||||
kuuzenkosku, kuuzenkoskuz|s. yhd.|kuuzenkoskud|kuuzen/koskud, -koskuden, -koskutt|кора ели|kuusenkoskut, kuusenkuori||||||
kuuzenkoskud, kuuzenkosku|s. yhd.|kuuzenkoskuz|kuuzenkoskuz|кора ели|kuusenkoskut, kuusenkuori||||||
kuuzenkoskud, kuuzenkoskuz|s. yhd.|kuuzenkosku|kuuzenkosku|кора ели|kuusenkoskut, kuusenkuori||||||
kopot'|s.|kuur'av|kuur'a/u, -van, -vad; -void|вьюга, метель|lumimyrsky, lumituisku, lumipyry||||||
kokk|s.|kuurič|kuur'i/č ~ -čč, -čan, -ččad; -čoid|курица, стропило|räystäskokka, katonkannatin (koukkupäinen)||||||
|num. yhd.|kuuz'kümment|kuuš/küme|шестьдесят|kuusikymmentä||||||
|num. yhd.|kuuz'tuhad|kuuš/tuhad|шесть тысяч|kuusituhatta||||||
kalmižem, kalmižmua|s.|kuuzik|kuuži/kk, -kon, -kkod; -koid|ельник|kuusikko, kuusimetsä; hautausmaa (Pl)||||||
|a.|kuuzine|kuuži/n'e, -žen, -št; -žid|ёлковый|kuusinen, kuusi-||||||
|s.|kuut'|kuu/t't'i, -t'in, -t't'id; -t'iiden, -t'iid|чёлн, лодка-долблёнка|kuutti, yhdestä puusta tehty ruuhi||||||
|v.|kuur'ida|kuur'i/da, -n, -in|курить|tupakoida||||||
|num.|kuuz' I|kuu/ž, -den, -t|шесть|kuusi||||||
|s.|kuuz' II|kuu/ž, -zen, -st; -žid|ель|kuusi, kuusipuu||||||
|a. kar.|küünäldamatoi|k'üunäldämä/töin'e, -ttömän, -töšt; -ttömid|бесслёзный|itkemätön, kyyneletön||||||
künäbruz|s. yhd.|küünäzpiä|k'üun'äs/piä|локоть|kyynärpää||||||
|s. dem.|klakuine|klaku/in'e, -ižen, -št; -ižid|свёрток, букет|käärö (pieni), kimppu, tukko||||||
|s.|kleja|klej/a, -an, -ad; -oid|клей|liima||||||
mätäz|s.|kločk|kločk, -an, -ad; -id|кочка|mätäs (pieni)|kločkad|небольшие кочки на лугу|pienet mättäät nurmella|||
klukatoittada|v.|klukattada|kluka/ttada, -ttau, -t't'i|икаться|nikottaa|mindai klukattau|у меня икота|minua nikottaa|||
|s.|kell|kell, -on, -od; -oid|часы|kello||||||
huogastuda, lebauzuda|v.|lebaududa|l'ebäüdü/dä, -n, -in|отдыхать|levätä, levähtää, nukkua päivällä (aterian jälkeen)||||||
