hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1||||||||||
höühen|höühen ~ höühön (LMS 86)|s.|гёугенъ|перо (птичье)|höyhen|||||||||||||||
höühenud|höühenüt (LMS 86)|s. dem.|гёугенют|перышко|höyhenen|||||||||||||||
iče|iče (LMS 93)|pron.|ичэ|сам|itse|||||||||||||||
iele|ielo (LMS 49)|part.||нет|ei ole|||||||||||||||
ielnu|ielnu (OLR 139)|part.||не было|ei ollut|šuapkat piäz ielnu (OLR 139)||шапки на голове не было|hattua päässä ei ollut|||||||||||
igened|igenet (LMS 87)|s. mon.|игэнэт|десны|ikenet|||||||||||||||
ihastuda||v.||||ihastun (LMS 88)|игастун|радуюсь|iloitsen|||||||||||
ikkun|ikkun (LMS 88)|s.|иккун|окно|ikkuna|||||||||||||||
ilbez|ilves (LMS 89)|s.|ильвес|рысь|ilves|||||||||||||||
ilmižin|il'mižin|adv.|ильмижен|наяву, вьявь  (RKS)|ilmi|||||||||||||||
iškeda||v.||||išken (LMS 90)|ишкэн|забиваю, вбиваю|isken|||||||||||
iškeda||v.||||silmäl išköu|сильмял ишкеу|мигает (глазом)|räpäytelee silmää|||||||||||
ištuda||v.||||ištun (LMS 91)|иштун|сижу|istun|||||||||||
itkeda||v.||||itken (LMS 93)|иткэн|плачу, рыдаю|itken|||||||||||
izvest'|izvesti|s.|извести|известка|kalkki|||||||||||||||
iän’|iäni (LMS 94)|s.|ияни|голос|ääni|||||||||||||||
jadu|jad|s.|ядъ|яд|myrkky|||||||||||||||
jantar'|jantari|s.|янтари|янтарь|meripihka|||||||||||||||
jazi|jazi|s.|язи|язь|säyne|||||||||||||||
kabrastada||v.||||kabrastan (LMS 96)|кабрастан|убираю|siivoan|||||||||||
kabu|kabu (LMS 97)|s.|кабу|ком (снежный)|lumipallo|||||||||||||||
kaccuda||v.||||kačon (LMS 116)|качон|смотрю|katson|||||||||||
kadaj|kada/i, -in  ~ -jan, -id  ~ -jad (LMS 98)|s.|кадай|вереск (RKS), можжевельник (LMS 97)|kanerva, kataja |nuotte kuajitah kadail (LMS 97)||невод окуривают можжевельником|nuotta suistutetaan katajansavulla|||||||||||
kadomine|kadomine|s.|кадоминэ|потеря|menetys|||||||||||||||
kagl|kagle (LMS 98)|s.|каглэ|шея|kaula|||||||||||||||
kaglniit'|kagle/niit't'i (LMS 98)|s. yhd.|каг-нити|бусы|kaulahelmet|||||||||||||||
kagluz|kaglus (LMS 98)|s.|каглус|воротник|kaulus|||||||||||||||
kagr|kagre (LMS 198)|s.|кагрэ|овес|kaura|||||||||||||||
kaid|kaide (LMS 100)|a.|кайдэ|узкий|kapea|||||||||||||||
kaivada||v.||||kaivan (LMS 101)|кайван|рою|kaivan|||||||||||
kajoi|kajuoi, -n, -d (LMS 53)|s.|каюой|чайка|lokki, kajava|||||||||||||||
kala|kala (LMS 103)|s.|кала|рыба|kala|||||||||||||||
kalaine|kalaine (LMS 103)|s. dem.|калайнэ|рыбка|kala (pieni), kalanen|||||||||||||||
kalin|kalina (LMS 104)|s.|калина|калина|heisi|||||||||||||||
kallehemb|kallehembi (LMS 104)|adv. komp.|каллэгэмби|дороже|kalliimpi|||||||||||||||
kalliž|kalliš (LMS 104)|a.|каллиш|дорогой|kallis|||||||||||||||
kalmižmua|kalmiž/mua (LMS 104)|s. yhd.|калмиж-муа|кладбище|hautausmaa|||||||||||||||
kamod|kamod (LMS 105)|s.|камод, комод (RKS)|комод|lipasto|||||||||||||||
kana|kana (LMS 105)|s.|кана|курица|kana|||||||||||||||
kananpoigad|kanam/poigad|s. mon.|канан-пойгат|цыплята|kananpojat|||||||||||||||
kanav|kanave (LMS 105)|s.|канавэ|канава|oja|||||||||||||||
kand I|kande (LMS 106)|s.|кандэ|пятка|kanta|||||||||||||||
kandatez|kandates (LMS 106)|s.|кандатэс|сметана|smetana|||||||||||||||
kandelta||v. frekv.||||kandelen (LMS 106)|кандэлен|ношу|kannan|||||||||||
kanta||v.||||kandan (LMS 106)|кандан|несу|kannan|||||||||||
karandiš|karandaš  (LMS 109)|s.|карандаш|карандаш|kynä|||||||||||||||
karas'|karassi (LMS 109)|s.|караси|карась|ruutana|||||||||||||||
karassin|karassin (LMS 109)|s.|карасин|керосин|petroli|||||||||||||||
karged|karged (LMS 1097)|adv.|каргэд|горько|katkerasti, karvaasti|||||||||||||||
kart II|karte (LMS 110)|s.|картэ|корыто|kaukalo|||||||||||||||
kartink|kartinke|s.|картинкэ|картинка|kuva|||||||||||||||
kartofei|kartofei (LMS 111)|s.|картофей|картофель|peruna|||||||||||||||
karvahaine|karvahaine|a.|карвакайнэ|мохнатый|karvainen|||||||||||||||
kasnuoraine|kasu/nuoraine|s. yhd. dem.|касу-нуорайнэ|косоплетка|viikate|||||||||||||||
kass I|kasse (LMS 112)|s.|кассэ|коса (женская)|palmikko|||||||||||||||
kaste|kaste (LMS 108)|s.|кастэ|роса|kaste|||||||||||||||
kataida||v.||||katain|катаин|вкатываю|vieritän, kieritän, työnnän|||||||||||
katk|katke (LMS 115)|s.|каткэ|каток|luistinrata|||||||||||||||
kattada||v.||||katan (LMS 116)|катан|закрываю|suljen|||||||||||
kattada||v.||||kattau (LMS 116)|каттау|кроет (крышу)|kattaa|||||||||||
kattil|kattil (LMS 117)|s.|каттил|котел|kattila|||||||||||||||
kauh|kauho ~ kauhe (LMS 117)|s.|кауго|ковшик|kauha|||||||||||||||
kauhtan|kaftan (LMS 97)|s.|кафтан|кафтан|kauhtana, kaftaani|||||||||||||||
kazak|kazakke (LMS 113)|s.|казаккэ|работник  (RKS), батрак|renki|pidäu kazakke hävittäi iäreh (LMS 85)||нужно избавиться от батрака|renki on toimitettava hengiltä|||||||||||
kaži|kaži (LMS 113)|s.|кажи|кошка|kissa|||||||||||||||
kažinpoig|kažim/poige|s. yhd.|кажин пойгэ|котенок|kissan pentu|||||||||||||||
kazn|kazne (LMS 114)|s.|казнэ|казна|kruunu, kruunun (valtion) omaisuus|||||||||||||||
kazvada||v.||||kazvan (LMS 114)|казван|росту|kasvan|||||||||||
kazvain|kazvain (LMS 114)|s.|казвайн|бородавка|syylä, luomi|kazvaimed (LMS 114)|казваймед|бородавки|syylät|||||||||||
kebd'|kebjed (LMS 118)|adv.|кебьед|легко|kevyesti|||||||||||||||
kehn|kehno (LMS 119)|s.|кегно|дьявол|perkele|||||||||||||||
kell|kello (LMS 121)|s.|кэлло|колокол|kello|||||||||||||||
kelloine|kelloine (LMS 121)|s. dem.|кэллойнэ|колокольчик|kello|||||||||||||||
kengad|kengäd (LMS 121)|s. mon.|кэньгат|сапоги|saappaat|||||||||||||||
kenganombelij|kengän/ombelij (LMS 122)|s. yhd.|кэньгат-омбэлий|сапожник|suutari|||||||||||||||
kengida||v.||||kengin (LMS 122)|кэнгин|обуваюсь|panen kengät|||||||||||
kera|kerä (LMS 124)|s.|кэря|кочан (капусты)|keräkaali|||||||||||||||
kerata||v.||||kerädan (LMS 124)|кэрядан|собираю|kerään|||||||||||
kerida||v.||||kerin (LMS 123)|кэрин|мотаю (на клубок)|kerin|||||||||||
kerita||v.||||keričen (LMS 123)|кэричэн|стригу|keritsen, leikkaan (parta, tukka)|||||||||||
keroi|keruoi (LMS 123)|s.|кэруой|глотка, горло|nielu, kurkku|||||||||||||||
keväz|keväd (LMS 127)|s.|кэвять|весна|kevät|||||||||||||||
keza|kezä (LMS 127)|s.|кэзя|лето|kesä|||||||||||||||
kezoi||s.||||kezuoit külben|кэзуойт-кюльбэн|купаюсь|kylven|||||||||||
kibin|küben (LMS 179)|s.|кюбэн|искра|kipinä|||||||||||||||
kiehutettu|kiehutettu|a.|киехутэтту|кипячёная|keitetty|kiehutettu vez'i|киехутэтту вези|кипячёная вода|keitetty vesi|||||||||||
kiel'|kieli (LMS 129)|s.|киэли|язык|kieli|||||||||||||||
kielastada||v.||||kielastan|киэластан|вру|valehdelen|||||||||||
kieletoi|kieletüöi (LMS 129)|a. kar.|киэлэтюёй|немой|mykkä, puhumaton|||||||||||||||
kielta||v.||||kieldän (LMS 130)|киэльдан|воспрещаю; унимаю|kiellän|||||||||||
kierd|kiere (LMS 130)|s.||раз|kerta|sanon kümmene kierad|санон кюмэнэ кирят|твержу, говорю десять раз||||||||||||
kierd||s.||||sil kierad|сил-кирят|сейчас|tällä kertaa|||||||||||
kierd||s.||||ühten kieran (LMS 130)|ухтен-киря|однажды, один раз|yhden kerran|||||||||||
kiim|kiime (LMS 139)|s.|киймэ|ток|kiima, soidin|||||||||||||||
kiirehes|kiirehes|adv.|кирэгэс|второпях|kiireessä|||||||||||||||
kiirehtada||v.||||kiirehtin (LMS 139)|кирэхтин|я торопил|kiirehtin|||||||||||
kiittada||v.||||kiitan (LMS 140)|кийтян|хвалю|kiitän|||||||||||
kiituz|kiitos (LMS 140)|s.|кийтос|похвала|kiitosmaininta|||||||||||||||
kindahad|kindahad (LMS 131)|s. mon.|киндагат|рукавицы|rukkaset|||||||||||||||
kinded|kinded (LMS 131)|a.|киндэд|тугой|ahdas|||||||||||||||
kiot|kiotte|s.|киоттэ|киота|ikoni- , pyhäinkuvakaappi|||||||||||||||
kipätk|kipätke|s.|кипяткэ|кипяток|kiehuva vesi|||||||||||||||
kird’nik|kirnikke|s.|кирниккэ|грамотный|luku- ja kirjoitustaitoinen|||||||||||||||
kird'uttada||v.||||kirjutan  (LMS 133)|кирютан|пишу, вписываю|kirjoitan|||||||||||
kirguda||v.||||kirgun (LMS 133)|киргун|кличу; зову|huudan|||||||||||
kirpič|kirpičče (LMS 134)|s.|кирпиччэ|кирпич|tiili|||||||||||||||
kirvez|kirves (LMS 134)|s.|кирвэс|топор|kirves|||||||||||||||
kirvezvarz'|kirves/varzi (LMS 134)|s. yhd.|кирвэс-варзи|топорище|kirvesvarsi|||||||||||||||
kišk|kiške|s.|кишкэ|кишка|suoli|||||||||||||||
kiškoda||v.||||kiškottih|кишкотти|ограбили|ryöstivät|||||||||||
kiškoj||s.||||kiškojat|кишкоят|грабители|ryöstäjät|||||||||||
kivi|kivi (LMS 136)|s.|киви|камень; жернов (камень)|kivi; jauhinkivi|||||||||||||||
kivilučč|kivi/ručču (LMS 136)|s. yhd.|киви-руччу|подкаменщик|kivilaiha|||||||||||||||
kiäg|kiäge (LMS 137)|s.|киягэ|ручка (дверная)|ovenripa|||||||||||||||
kiätä||v.||||kiändan|кияндан|гну|taivutan, väännän, koukistan|||||||||||
kluad'|kluadi (LMS 140)|s.|клуади|кладь|matkatavarat, kuorma|||||||||||||||
kniig|kn'iige (LMS 141)|s.|книгэ|книга|kirja|||||||||||||||
kobr|kobre (LMS 141)|s.|кобрэ|горсть|koura, pivo|||||||||||||||
kodi|kod'i (LMS 142)|s.|коди|дом|koti, talo|||||||||||||||
kofij|kofei (LMS 143)|s.|кофей|кофе|kahvi|||||||||||||||
kofijnik|kofein'ikke (LMS 143)|s.|кофэйниккэ|кофейник|kahvipannu|||||||||||||||
koht|kofte (LMS 144)|s.|кофтэ|кофта|pusero|||||||||||||||
koir|koire (LMS 145)|s.|койрэ|собака|koira|||||||||||||||
koiv|koiv (LMS 145)|s.|койву|береза|koivu|||||||||||||||
koivuine|koivuine (LMS 146)|a.|койвуйнэ|березовый|koivuinen|||||||||||||||
koja|koja (LMS 146)|s.|коя|моль|koi|||||||||||||||
kokoi|kokuoi (LMS 146)|s.|кокуой|кокач (RKS)|kokuoi-piiras|||||||||||||||
kolmei|kolmei|adv.|колмэй|втроем|kolmisin|||||||||||||||
kolod|kolod (LMS 149)|s.|колод|колода (карт)|korttipakka|||||||||||||||
kološid|kološad (LMS 149)|s. mon.|колошат|галоши|kalossit|||||||||||||||
komkad|komkad|s. mon.|комкад|комки (в муке)|kerät|||||||||||||||
kondij|kondij (LMS 150)|s.|кондий|медведь|karhu|||||||||||||||
konopattida||v.||||konopatin|конопатин|конопачу|tilkitsen|||||||||||
kopčad|kopčat (LMS 151)|s. mon.|копчат|копыта|kaviot|||||||||||||||
koret|korette (LMS 152)|s.|кореттэ|карета|vaunut|||||||||||||||
korged|korged (LMS 152)|adv.|коргэть|высоко|korkeasti, korkealla, korkealle|||||||||||||||
korv|korve (LMS 153)|s.|корвэ|ухо|korva|||||||||||||||
korvantüvi|korvan/tüvi|s. yhd.|корва-тюви|виски|ohimot, kulmat|||||||||||||||
korvatoi|korvatuoi|a. kar.|корватуой|безухий|korvaton|||||||||||||||
korvoi|korvuoi (LMS 153)|s.|корвуой|ушат|korvo, saavi|||||||||||||||
koskeda||v.||||kosken (LMS 154)|коскэн|трогаю|kosken|||||||||||
koskel|koskelo (LMS 154)|s.|коскэло|рыбогон (птица)|koskelo|||||||||||||||
kosoi|kosuoi|s.|косуой|косовик|kosuoi-piiras|||||||||||||||
kost'urk|kost'urke|s.|костюркэ|кастрюля|kattila|||||||||||||||
kouhkoi|kouhkuoi (LMS 155)|s.|коукуой|легкое|keuhko|||||||||||||||
kouk|koukku (LMS 156)|s.|коуку|кочерга, крюк|koukku, hiilikoukku|||||||||||||||
kova|kova (LMS 156)|a.|кова|твердый, жесткий|kova|||||||||||||||
kovažim|kovažin (LMS 156)|s.|коважин|брус|parru, pelkka|||||||||||||||
kozita||v.||||kozičen (LMS 155)|козичэн|сватаю|kosin|||||||||||
kr'akun|kr'akun|s.|крякун|утка-кряква|sinisorsa|||||||||||||||
kravat'|kravat't'i (LMS 158)|s.|краватти|кровать|sänky|||||||||||||||
kringel'|kringeli (LMS 157)|s.|крингели|крендель|rinkeli|||||||||||||||
krišk|kriške (LMS 157)|s.|крышкэ|крышка|kansi|||||||||||||||
kruan|kruane|s.|кранэ|кран|hana, kraana|||||||||||||||
kruask|kraske (LMS 156)|s.|краскэ|краска|maali, väri|||||||||||||||
kruassida||v.||||kras'in (LMS 156)|красин|крашу|maalaan|||||||||||
kruug|kruuge (LMS 158)|s.|кругэ|круг|ympyrä, piiri|||||||||||||||
kuakištada||v.||||kuakištan|куакиштан|давлю|kuristan|||||||||||
kualada||v.||||kualan (LMS 161)|куалан|бреду|taivaltan, laahustan, samoan, rämpin|||||||||||
kualelta|kualelta (LMS 161)|v. frekv.||бродить (в воде)|kuljeskella, kuljeksia, harhailla, samoilla, kierrellä|||||||||||||||
kuaš|kuašše (LMS 161|s.|куаши|каша|puuro|||||||||||||||
kuata||v.||||kuaduoi (LMS 161)|куадуй|он опрокинул|kaatoi, kumosi|||||||||||
kubišta||v.||||kubižen (LMS 162)|кубижэн|чешусь|kutisen|||||||||||
kubu|kubu, -n, -d (LMS 162)|s.|кубу|тукач (RKS)|olkikupo|||||||||||||||
kuccuda||v.||||kučun|кучун|зову|kutsun|||||||||||
kucuttada||v.||||kučutan (LMS 176)|кучутан|требую|vaadin|||||||||||
kudoda||v.||||kudon (LMS 163)|кудон|тку|kudon|||||||||||
kudr'avoi|kudr'avoi|a.|кудрявой|кудрявый|kihara|||||||||||||||
kuha|kuha (LMS 164)|s.|куга|судак|kuha|||||||||||||||
kuhm|kuhmu (LMS 164)|s.|кугмо|волдырь|rakko, vesirakko, rakkula, vesirakkula|||||||||||||||
kuhn'|kuhne ~ kuhn' (LMS 164)|s.|кухнэ|кухня|keittiö|||||||||||||||
kuiv|kuive (LMS 165)|a.||сухой|kuiva|||||||||||||||
kuiv|kuive (LMS 165)|s.|куйвэ|суша|kuiva maa|||||||||||||||
kuiv|kuive (LMS 165)|adv.|куйвэ|сухо|kuivaa|||||||||||||||
kuivata||v.||||kuivadan (LMS 166)|куйвадан|сушу|kuivaan|||||||||||
kukkar|kukkaro (LMS 166)|s.|куккаро|кошелек|kukkaro, lompakko|||||||||||||||
kukšin|kukšin (LMS 167)|s.|кукшин|кувшин|kannu|||||||||||||||
kul'a|kul'a (LMS 167)|s.|куля|куль|kuli|||||||||||||||
kulak|kulakke (LMS 167)|s.|кулаккэ|кулак|nyrkki|||||||||||||||
kuld|kulde (LMS 167)|s.|кулдэ|золото|kulta|||||||||||||||
kulmad|kulmad (LMS 168)|s. mon.|кулмат|брови|kulmakarvat|||||||||||||||
kumardeltakse||v. frekv. refl.||||kumardelemos|кумардэлэмос|кланяюсь|kumartelen|||||||||||
kummakaz|kummakas (LMS 169)|a.|куммакас|забавный, смешной|huvittava, hauska|||||||||||||||
kuolda||v.||||kuolen (LMS 171)|куолэн|умираю, мру|kuolen|||||||||||
kuolij|kuolij (LMS 171)|a.|куолий|мертвый|kuollut|||||||||||||||
kuom|kuome (LMS 172)|s.|куомэ|кума|kummi|||||||||||||||
kuop|kuop/pe, -an, -pad (LMS 172)|s.|куоппэ|яма (в подолье)|kuoppa (juurikasvien säilytyspaikka)|||||||||||||||
kuor'|kuori (LMS 172)|s.|куори|кора|kuori|||||||||||||||
kuorida|kuorida (LMS 172)|v.||снимать сметану|kuoria (maito)|kuorin (LMS 172)|куорин|снимаю сметану|kuorin (kermat)|||||||||||
kuorittada||v.||||kuoritan (LMS 172)|куоритан|чищу (картошку)|kuorin (perunaa)|||||||||||
kuor'oi|kuor'uoi (LMS 172)|s.|корюой|корюшка|kuore|||||||||||||||
kuorzuda||v.||||kuorzun (LMS 173)|куорзун|храплю|kuorsaan|||||||||||
kuožal'|kuožali (LMS 173)|s.|куожали|прялка|rukki|||||||||||||||
kupč|kupče|s.|купче|купец|kauppias|||||||||||||||
kurg|kurg/i, -en, -ed (LMS 174)|s.|курги|журавль|kurki|||||||||||||||
kurtk|kurtke|s.|курткэ|куртка|takki|||||||||||||||
kus|kus|adv.|кус|где|missä|||||||||||||||
kuu|kuu (LMS 176)|s.|куу|месяц|kuukausi|||||||||||||||
kuudam|kuudain (LMS 176)|s.|куудйнэ|луна|kuu|||||||||||||||
kuundelta|kuundelta (LMS 170)|v. frekv.||слушать|kuunnella|kuundelen (LMS 170)|куундэлэн|слушаю|kuuntelen|||||||||||
kuurniž|kuurn/iš, -ehen (LMS 178)|a.|курниш|глухой|kuuro; synkkä|||||||||||||||
kuuz' II|kuuzi (LMS 178)|s.|куузи|ель|kuusi|||||||||||||||
kuuzine|kuuzine (LMS 178)|a.|куузинэ|еловый|kuusi- , kuusinen|||||||||||||||
kuva|kuva (LMS 176)|s.|кува|колодка (сапожная)|pölkky|||||||||||||||
kuvahaine|kuvahaine|s.|кувагайнэ|тень|varjo|||||||||||||||
küdü|küdü (LMS 179)|s.|кюдю|деверь|aviomiehen veli|||||||||||||||
külläine|külläine (LMS 179)|a.|кюлляйнэ|сытый, сыт  (RKS)|kylläinen|||||||||||||||
külmäda||v.||||külmän (LMS 180)|кюльмян|зябну|palelen, olen viluissaan|||||||||||
külväda|külvädä (LMS 180)|v.||сеять|kylvää|külvän (LMS 180)|кюльвян|сею|kylvän|||||||||||
külväda||v.||||pelvast külvetäh (LMS 180)||лён сеют|pellavaa kylvetään|||||||||||
külvämine|külvämine|s.|кюльвяминэ|пашня|kynnös|||||||||||||||
külü|külü (LMS 180)|s.|кюлю|баня|sauna, kylpy|||||||||||||||
külünižand|külün/ižände|s. yhd.|кюлюн ижяндэ|хозяин бани, баенщик (нечистая сила)|saunan isäntä|||||||||||||||
külä|külä (LMS 181)|s.|кюля|село|kylä|||||||||||||||
kümmene|kümmene|num.|кюмэнэ|десять|kymmenen|sanon kümmene kierad|санон кюмэнэ кирят|твержу, говорю десять раз|sanon kymmenen kertaa|||||||||||
kümmenik|kümmen'ikke|s.|кюммэниккэ|десятский|kyläpoliisi,  kupias|||||||||||||||
künded|künded (LMS 181)|s. mon.|кюндэд|когти|kynnet|||||||||||||||
kündüz|kündüs (LMS 182)|s.|кюндюс|порог|kynnys|||||||||||||||
kündž|künzi (LMS 181)|s.|кюнзи|ноготь|kynsi|||||||||||||||
küntä||v.||||kündžin (LMS 181)|кюнджин|я царапал|kynsin|||||||||||
künä|künä (LMS 182)|s.|кюня|перо (писчее)|kynä, kirjoituskynä|||||||||||||||
künäbruz|künäbrüs (LMS 182)|s.|кюнябрюс|локоть|kyynärpää|||||||||||||||
kürz|kürz/e, -än, -äd (LMS 182)|s.|кюрьзэ|блин|ohut pannukakku, lettu, blini|||||||||||||||
kütkida|kütkedä (LMS 183)|v.||полоть, щипать|kitkeä|kütken (LMS 183)|кюткэн|щиплю|kitken|||||||||||
käbäl|käbäl, -än, -äd(LMS 184)|s.|кябяй|лапа|käpälä|||||||||||||||
käbäläine|käbäläine|s. dem.|кябяляйнэ|лапка|käpälä (pieni)|||||||||||||||
kägöi|kägüöi (LMS 184)|s.|кягюёй|кукушка|käki|||||||||||||||
kämmen|kämmen (LMS 185)|s.|кямменъ|ладонь|kämmen|||||||||||||||
kärbäine|kiäbräine|s.|киябряйнэ|муха|kärpänen|||||||||||||||
kärböisien'|käbrüöi/sieni (LMS 184)|s. yhd.|киябряй-сиэни|мухомор|kärpässieni|||||||||||||||
kärišta||v.||||kärižen|кярижэн|хриплю|korisen|||||||||||
kärz|kärze (LMS 185)|s.|кярзэ|рыло|kärsä|||||||||||||||
käskend|käskende|s.|кяскендэ|приказ|käsky|||||||||||||||
käskülaine|käsküläine (LMS 185)|s.|кяскюляйнэ|работница|palvelijatar|||||||||||||||
kätküd|kätküd (LMS 187)|s.|кятькюд|люлька,  колыбель, зыбка|kätkyt, kehto, vitmi|||||||||||||||
kävelta||v. frekv.||||kävelen (LMS 187)|кявэлэн|хожу|kävelen|||||||||||
käzi|käzi (LMS 185)|s.|кязи|рука|käsi|||||||||||||||
köüh|keühe (LMS 188)|a.|кэугэ|бедный|köyhä|||||||||||||||
köühüz|keuhüs (LMS 127)|s.|кэугюсь|бедность|köyhyys|||||||||||||||
labid|labje (LMS 188)|s.|лабье|лопата|lapio|||||||||||||||
lagi|lagi (LMS 189)|s.|лаги|потолок|katto, laki|||||||||||||||
lahk|lahko (LMS 190)|s.|лахко|плаха|halkaistu pölkky|||||||||||||||
lahn|lahne (LMS 190)|s.|лагнэ|лещ|lahna|||||||||||||||
lahnanparuliine|lahnam/paruliine (LMS 190)|s. yhd.|лагнан-парулийнэ|подлещик|pieni lahna|||||||||||||||
laihina|laihina (LMS 190)|adv.|лайгина|взаймы|lainaksi|||||||||||||||
lainata||v.||||lainadan|лайнадан|глотаю|nielen|||||||||||
lakk|luakke|s.|луаккэ|лак|lakka|||||||||||||||
lambaz|lambaz (LMS 191)|s.|ламбас|овца|lammas|||||||||||||||
lamp|lamp/e, -an (LMS 191)|s.|лампэ|лампа|lamppu|||||||||||||||
lampatk|lampatke|s.|лампадкэ|лампадка|lampukka|||||||||||||||
lapp|lap/pe, -an (LMS 192)|s.|лаппэ|пряжка, петля|solki, silmukka|||||||||||||||
laps'|lapsi (LMS 192)|s.|лапси|дитя|lapsi|lapsed (LMS 182)|лапсэд|ребята|lapset|||||||||||
lapsen/kaccuj|lapsenkaččuoi (LMS  193)|s. yhd.|лапсэн каччуой|няня|lapsenkasvattaja|||||||||||||||
lapsiden-|lapsiden-|s.|лапсидэн|детский|lasten-|||||||||||||||
lašk|laške (LMS 193)|a.|лашкэ|ленивый|laiska|||||||||||||||
laskend|laskende|s.|ласкендэ|заход|lasku|päipašton laskende|пяй-паштoн ласкендэ|заход солнца|auringon lasku|||||||||||
laškuz|laškuz (LMS 194)|s.|лашкус|лень|laiskuus|||||||||||||||
lattij|lat't'i (LMS 195)|s.|латти|пол|lattia|||||||||||||||
laud|laude (LMS 195)|s.|лаудэ|доска; тёс|lauta|||||||||||||||
laudaine|laudaine|s. dem.|лаудайнэ|дощечка|pieni lauta|||||||||||||||
lauk II|laukke (LMS 195)|s.|лаукэ|лавка|puoti|||||||||||||||
lauk I|laukke (LMS 195)|s.|лаукэ|лук|sipuli|||||||||||||||
laut|lautte (LMS 195)|s.|лаутэ|плот|lautta|||||||||||||||
lehm|lehme (LMS 196)|s.|лэгмэ|корова|lehmä|||||||||||||||
lehtez|lehtes (LMS 197)|s.|лэхтэс|лист (на дереве)|lehti|||||||||||||||
leib|leibe (LMS 197)|s.|лэйбэ|хлеб|leipä|||||||||||||||
leikalmuz|leikalmas (LMS 198)|s.|лэйкалмас|зарубка|hakkaaminen|||||||||||||||
leikata||v.||||leikadan (LMS 198)|лэйкадан|режу, вырезаю|leikkaan, viiltän|||||||||||
lendelta||v. frekv.||||lendelen (LMS 199)|лэндэлэн|летаю|lennän, lentelen|||||||||||
lent|lentte (LMS 199)|s.|лэнтэ|лента|nauha|||||||||||||||
lepp|leppe (LMS 199)|s.|лэппэ|ольха|leppä|||||||||||||||
lepöšk|lepeške|s.|лэпешкэ|лепешка|kakkara|||||||||||||||
leta|lendäi (LMS 200)|v.||улетать|lentää|lendän (LMS 200)|лэндон|улетаю|lennän|||||||||||
leva|leva|s.|лэва|лев|leijona|||||||||||||||
leved|leved (LMS 200)|a.|лэвэд|широкий|leveä|||||||||||||||
levo|levo (LMS 201)|s.|лэво|крыша|katto|||||||||||||||
ležank|ležanke (LMS 200)|s.|лэжанкэ|лежанка|uuninpankko, pankko|||||||||||||||
lieččida||v.||||liečin|лиэчин|лечу|lääkitsen|||||||||||
liga|liga (LMS 204)|s.|лига|грязь|lika|||||||||||||||
ligo|ligo (LMS 204)|s.|лиго|мочало|niini|||||||||||||||
liha|liha|s.|лига|говядина|liha, naudanliha|||||||||||||||
liikuttada|liikutta/da, -u (LMS 208)|v.||шевелить, качать|liikuttaa, keinuttaa|liikutan (LMS 208)|ликутан|шевелю, качаю|liikutan, keinutan|||||||||||
liipoi|liipuoi (LMS 209)|s.|липуой|бабочка|perhonen|||||||||||||||
limon|limon|s.|лимон|лимон|sitruuna|||||||||||||||
lind|lindu|s.|линду|дичь|lintu|||||||||||||||
lindžoi|lindžuoi (LMS 205)|s.|линджуой|костяника|lillukka|||||||||||||||
lineik|lineike|s.|линейкэ|линейка|viiva, viivoitin, rivi|||||||||||||||
lips|lipsu (LMS 206)|s.|липсу|трепало|lihta, lipsu|||||||||||||||
lipsuta||v.||||lipsudan (LMS 206)|липсудан|треплю (лен)|lihtaan (pellavaa)|||||||||||
list|liste (LMS 206)|s.|листэ|лист (бумаги)|liuska|||||||||||||||
liuhtez|l'iuhtes (LMS 207)|s.|лиухтэ|сноп|lyhde, sidoin|||||||||||||||
lohi|lohi (LMS 202)|s.|логи|лосось|lohi|||||||||||||||
lohkan|lahan'i (LMS 210)|s.|лахани|лохань|kiulu|||||||||||||||
loitoine|loitoine (LMS 210)|a.|лойтойнэ|дальний|kaukainen|||||||||||||||
loitomb|loitombi|adv. komp.|лойтомби|дальше|pitempi, kauempi|||||||||||||||
loitton|loitton (LMS 211)|adv.|лойтон|далеко|kaukana|||||||||||||||
loma|loma|s.|лома|лом|rautakanki|||||||||||||||
lomud|lomud (LMS 211)|s. mon.|ломуд|сор|hylkytavara|||||||||||||||
lomuta||v.||||lomudan|ломудан|сорю|heittelen roskia|||||||||||
loškada||v.||||loškau|лошкау|бьет, трещит|rytisee|||||||||||
lošnida||v.||||lošniu (LMS 212)|лошниу|блестит|loistaa|||||||||||
louk|loukko (LMS 213)|s.|лоуко|нора, дыра|luola, reikä|loukot azuta(h)|локот азута|выдалбливают, делают дыру|taltaavat|||||||||||
loukuttada||v.||||loukutan (LMS 213)|лоукутан|мну|pehmitän|||||||||||
luadon|luadon|s.|луадонъ|ладан, ладон (RKS)|suitsutuspihka|||||||||||||||
luap|luape (LMS 215)|s.|лапэ|лапа|käpälä|||||||||||||||
luar'|luari, -n (LMS 215)|s.|луари|ларь|laari|||||||||||||||
lugeda|lugeda (LMS 216)|v.||читать; считать|lukea; laskea|lugen (LMS 216)|лугэн|читаю; считаю|luen; lasken|||||||||||
lugeda||v.||||lugen uudessa|лугэнъ уудэсса|пересчитываю, считаю снова|lasken uudestaan|||||||||||
